u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,66.76271343475642,58.74926269512832,66.76271343475632,58.7492626951283
-7.0,66.2360272632157,59.225221240486086,66.23602726321579,59.225221240486
-6.0,65.7126386955158,59.70460939062407,65.71263869551575,59.70460939062414
-5.0,65.19256285073712,60.18742357616159,65.19256285073712,60.18742357616157
-4.0,64.67581401835207,60.673659307837276,64.67581401835203,60.67365930783743
-3.0,64.16240564443515,61.16331117750929,64.16240564443514,61.16331117750934
-2.0,63.65235031893384,61.65637286036449,63.65235031893371,61.65637286036449
-1.0,63.145659764028736,62.15283711834423,63.14565976402873,62.152837118344195
0.0,62.6760513794907,62.498663245491514,62.558792533948875,61.54482239083289
1.0,62.148447511942095,63.094611476410336,62.148447511942074,63.09461147641025
2.0,61.67659818206867,63.65470881987646,61.67659818206867,63.654708819876404
3.0,61.183901067000406,64.16477127517975,61.18390106700035,64.16477127517969
4.0,60.69461340573644,64.6781866671086,60.69461340573652,64.67818666710862
5.0,60.20874146074033,65.19494240377935,60.20874146074037,65.19494240377931
6.0,59.72629057820507,65.71502503725722,59.72629057820507,65.71502503725723
7.0,59.22767481612212,66.3244042937473,59.22767481612209,66.32440429374729
8.0,58.75190492124947,66.8509112879238,58.751904921249384,66.85091128792376
9.0,58.27956690936018,67.38069988278421,58.27956690936007,67.38069988278424
10.0,57.8307724400684,67.8283263611467,57.83077244006833,67.82832636114664
11.0,57.36547490984212,68.36481274747166,57.36547490984209,68.36481274747167
12.0,58.94056605482492,71.39337604691266,58.940566054824984,71.39337604691264
13.0,58.4645141479604,71.95369055488796,58.46451414796041,71.95369055488798
14.0,57.99194369008301,72.51716172717632,57.99194369008305,72.51716172717627
15.0,57.522854848133896,73.08376606643935,57.522854848133846,73.08376606643941
16.0,57.05724685818416,73.65347942862685,57.05724685818414,73.6534794286268
17.0,56.59511803226225,74.22627704697658,56.59511803226219,74.22627704697658
18.0,56.1364657663045,74.80213355654226,56.13646576630454,74.80213355654223
19.0,55.6812865492036,75.38102301918279,55.68128654920354,75.38102301918278
20.0,55.22957597291769,75.96291894896021,55.22957597291781,75.96291894896008
21.0,54.78132874360817,76.5477943378904,54.78132874360811,76.54779433789048
22.0,54.336538693765284,77.1356216819815,54.33653869376524,77.13562168198146
23.0,53.895198795285694,77.72637300751231,53.89519879528569,77.72637300751236
24.0,53.45730117345634,78.32001989748612,53.45730117345626,78.32001989748616
25.0,53.02283712180365,78.91653351820823,53.02283712180375,78.91653351820831
26.0,52.591797117762994,79.51588464592903,52.59179711776284,79.51588464592908
27.0,52.16417083911987,80.11804369350071,52.164170839119976,80.11804369350064
28.0,51.73994718118004,80.72298073699123,51.739947181180135,80.7229807369911
29.0,51.31911427461521,81.3306655422089,51.31911427461518,81.33066554220892
30.0,50.90165950393898,81.94106759108197,50.90165950393891,81.94106759108189
31.0,50.4875695265619,82.55415610784698,50.48756952656196,82.55415610784698
32.0,50.07683029237852,83.16990008500065,50.07683029237841,83.16990008500059
33.0,49.66942706383238,83.78826830896833,49.66942706383245,83.78826830896848
34.0,49.265344436412704,84.40922938544658,49.26534443641276,84.40922938544652
35.0,48.864566359534486,85.03275176437887,48.86456635953451,85.03275176437884
36.0,48.467076157748075,85.65880376452847,48.467076157748124,85.6588037645285
37.0,48.072856552235784,86.28735359760817,48.072856552235784,86.28735359760819
38.0,47.681889682544224,86.91836939193547,47.68188968254426,86.91836939193547
39.0,47.29415712850744,87.5518192155809,47.2941571285075,87.55181921558093
