LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup,u
47.23921525598504,52.45384664444353,47.23921525598503,52.453846644443544,,,-5.0
47.492495640080904,52.185666690552196,47.49249564008091,52.185666690552196,,,-4.500000000000001
47.74657574824498,51.91825463544942,47.74657574824499,51.918254635449436,,,-4.000000000000001
48.0014543010477,51.65161256718788,48.00145430104772,51.651612567187875,,,-3.5000000000000013
48.25712997325707,51.38574252290895,48.2571299732571,51.38574252290892,,,-3.0000000000000018
48.513601395834876,51.12064648602948,48.5136013958348,51.120646486029415,,,-2.500000000000002
48.77086715788973,50.85632638331528,48.770867157889796,50.85632638331529,,,-2.0000000000000027
49.02892580759113,50.592784082756424,49.0289258075911,50.5927840827564,,,-1.500000000000003
49.28777584613956,50.33002139803558,49.28777584613955,50.3300213980356,,,-1.0000000000000036
49.54741565891993,50.06804015530026,49.547415658919874,50.0680401553002,,,-0.5000000000000039
49.807976369388896,49.80670933644143,49.80797636931281,49.80670933651762,,,-4.336808689942018e-15
50.06906032019061,49.546426594011834,50.06906032019064,49.54642659401182,,,0.4999999999999952
50.331060788124724,49.28679853057731,50.33106078812468,49.28679853057731,,,0.9999999999999948
50.59384529679238,49.027957377756394,50.5938452967923,49.02795737775641,,,1.4999999999999944
50.8574123328652,48.76990426749937,50.85741233286518,48.76990426749935,,,1.999999999999994
51.121760602627496,48.51263995645317,51.121760602627525,48.512639956453235,,,2.4999999999999933
51.386889046718295,48.256164781176636,51.38688904671824,48.256164781176594,,,2.9999999999999933
51.65279697314921,48.0004784764817,51.65279697314927,48.000478476481796,,,3.499999999999994
51.91948429444832,47.74557985695682,51.91948429444837,47.745579856956816,,,3.9999999999999925
52.1869519424593,47.49146626104096,52.186951942459324,47.491466261040934,,,4.499999999999991
52.4552026205714,47.238132543179866,52.45520262057141,47.23813254317987,,,4.999999999999991
52.724242237350715,46.98556915319014,52.7242422373507,46.985569153190156,,,5.499999999999992
52.99408280932676,46.733758247745634,52.99408280932678,46.73375824774561,,,5.99999999999999
53.26474878909949,46.482665214474814,53.26474878909948,46.48266521447489,,,6.499999999999989
53.53629218897281,46.23221841873655,53.53629218897278,46.232218418736544,,,6.999999999999989
53.80883322947273,45.98225477954128,53.80883322947276,45.98225477954132,,,7.49999999999999
54.08544937348421,45.72864621874859,54.085449373484295,45.728646218748615,,,7.999999999999989
54.35346256780845,,61.88105670649445,45.48857100924204,71.23947543967525,,8.499999999999988
54.62775642494622,,62.170791284756355,45.24168479187528,71.51536264604671,,8.999999999999988
54.90279437539629,,62.46123256288316,44.995616795648644,71.79202515143575,,9.499999999999988
55.17857445185146,,62.752379342915766,44.75036593233019,72.06946114969296,,9.999999999999988
55.45509455406535,,63.04422996183628,44.505931487783904,72.34766869526949,,10.499999999999986
55.732352468084045,,63.336782402759184,44.26231301303042,72.62664572211534,,10.999999999999986
63.629277396211826,,63.62927739621191,,72.90553081467702,72.90553081467698,11.499999999999986
63.92342988492363,,63.92342988492369,,73.18627157230637,73.18627157230635,11.999999999999986
64.21819128396183,,64.21819128396186,,73.46767814817217,73.46767814817217,12.499999999999984
64.51360335789745,,64.51360335789741,,73.74979864016098,73.7497986401609,12.999999999999984
64.80968164143765,,64.80968164143752,,74.03265143046086,74.03265143046085,13.499999999999984
65.10643194198938,,65.10643194198938,,74.31624394220908,74.31624394220907,13.99999999999998
65.40385586019883,,65.40385586019889,,74.60057888159672,74.60057888159677,14.499999999999982
65.70195294930316,,65.70195294930318,,74.88565666690455,74.88565666690457,14.999999999999982
66.00072166718628,,66.00072166718621,,75.1714764938834,75.1714764938834,15.499999999999982
66.30015983788648,,66.30015983788648,,75.45803684942385,75.45803684942386,15.999999999999982
66.60026489331428,,66.60026489331428,,75.74533577908437,75.74533577908433,16.49999999999998
66.90103400833506,,66.90103400833502,,76.03337103571477,76.03337103571477,16.99999999999998
67.20246418057161,,67.20246418057155,,76.32214016671279,76.32214016671276,17.499999999999982
67.50455227989252,,67.50455227989247,,76.61164056777939,76.61164056777939,17.99999999999998
67.80729508045002,,67.8072950804501,,76.9018695174852,76.90186951748522,18.49999999999998
68.11068928224014,,68.11068928224017,,77.19282420036981,77.19282420036981,18.99999999999998
68.41473152613042,,68.4147315261304,,77.48450172293221,77.48450172293224,19.49999999999998
68.71941840467846,,68.71941840467852,,77.77689912506506,77.77689912506503,19.99999999999998
69.0247464701562,,69.02474647015623,,78.07001338848247,78.07001338848242,20.499999999999975
69.33071224066768,,69.33071224066764,,78.36384144311059,78.36384144311054,20.99999999999998
69.63731220493456,,69.63731220493457,,78.65838017206315,78.65838017206316,21.49999999999998
69.94454282613111,,69.94454282613106,,78.95362641561567,78.95362641561559,21.999999999999975
70.25240054502393,,70.25240054502389,,79.24957697445213,79.24957697445214,22.499999999999975
70.56088178259736,,70.56088178259728,,79.54622861238008,79.54622861238008,22.999999999999975
70.86998294228924,,70.86998294228931,,79.84357805864362,79.84357805864364,23.499999999999975
71.17970041192791,,71.17970041192797,,80.1416220099349,80.14162200993489,23.999999999999975
71.49003056543683,,71.49003056543674,,80.44035713217055,80.44035713217048,24.49999999999997
71.80096976435492,,71.80096976435487,,80.73978006208594,80.73978006208603,24.999999999999975
72.11251435921027,,72.11251435921022,,81.03988740868667,81.0398874086867,25.499999999999975
