u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-20.0,75.96303053962934,55.22964954409199,75.96303053962936,62.87276654392819,,
-19.75,75.81727623518593,55.34225269978954,75.81727623518594,62.72928557406907,,
-19.5,75.67170857007964,55.45507240657494,75.67170857007966,62.58598460576835,,
-19.25,75.52632796733415,55.568108748864425,75.52632796733417,62.44286404374345,,
-19.0,75.38113484798467,55.681361807636165,75.3811348479847,62.299924291310255,,
-18.75,75.23612963105296,55.79483166041908,75.23612963105298,62.15716575035937,,
-18.5,75.09131273352244,55.9085183812808,75.09131273352244,62.01458882133284,,
-18.25,74.94668457031156,56.022422040816835,74.94668457031156,61.872193903200646,,
-18.0,74.80224555425035,56.13654270613944,74.80224555425036,61.729981393437384,,
-17.75,74.65799609605358,56.250880440867036,74.6579960960536,61.5879516879986,,
-17.5,74.51393660429764,56.36543530511358,74.51393660429764,61.4461051812977,,
-17.25,74.3700674853936,56.48020735547757,74.3700674853936,61.304442266182456,,
-17.0,74.22638914356388,56.59519664503388,74.22638914356388,61.16296333391112,,
-16.75,74.08290198081643,56.71040322332202,74.08290198081643,61.021668774129594,,
-16.5,73.93960639692105,56.82582713633775,73.93960639692105,60.88055897484806,,
-16.25,73.79650278938405,56.94146842652387,73.79650278938406,60.73963432241686,,
-16.0,73.653591553424,57.05732713276061,73.653591553424,60.5988952015039,,
-15.75,73.51087308194764,57.17340329035772,73.51087308194764,60.45834199507087,,
-15.5,73.36834776552527,57.28969693104524,73.36834776552527,60.31797508435049,,
-15.25,73.2260159923668,57.406208082966145,73.2260159923668,60.177794848822195,,
-15.0,73.08387814829743,57.522936770667876,73.08387814829743,60.03780166618992,,
-14.75,72.94193461673447,57.639883015094725,72.94193461673447,59.89799591235856,,
-14.5,72.8001857786628,57.757046833580645,72.8001857786628,59.75837796141029,,
-14.25,72.65863201261165,57.87442823984229,72.65863201261166,59.61894818558194,,
-14.0,72.51727369463092,57.99202724397209,72.51727369463092,59.479706955241966,,
-13.75,72.37611119826776,58.109843852431624,72.37611119826778,59.34065463886689,,
-13.5,72.23514489454377,58.22787806804552,72.23514489454378,59.20179160301892,,
-13.25,72.09437515193079,58.3461298899953,72.09437515193079,59.06311821232246,,
-13.0,71.95380233632972,58.464599313814205,71.95380233632972,58.924634829441345,,
-12.75,71.81342681104566,58.58328633138092,71.81342681104567,58.78634181505639,,
-12.5,71.67324893676712,58.702190930915606,71.67324893676712,58.648239527842,,
-12.25,71.53326907154202,58.821313096973824,71.53326907154204,58.51032832444408,,
-12.0,71.39348757075636,58.94065281044306,71.39348757075636,58.37260855945692,,
-11.75,71.25390478711152,59.06021004853775,71.25390478711152,58.235080585400986,,
-11.5,71.11452107060248,59.17998478479627,71.11452107060248,58.097744752699974,,
-11.25,70.97533676849586,59.29997698907582,70.97533676849586,57.960601409659034,,
-11.0,70.83635222530816,59.420186627550606,70.83635222530816,57.8236509024417,,
-10.75,70.69756778278432,59.54061366270773,70.69756778278432,57.68689357504851,,
-10.5,70.55898377987668,59.66125805334474,70.55898377987668,57.55032976929416,,
-10.25,70.42060055272337,59.78211975456732,70.42060055272337,57.413959824785685,,
-10.0,70.28241843462746,59.903198717787006,70.28241843462746,57.27778407890042,,
-9.75,70.14443775603647,60.02449489071893,70.14443775603647,57.141802866764586,,
-9.5,70.00665884452155,60.146008217381016,70.00665884452155,57.00601652123069,,
-9.25,69.8690820247571,60.26773863809232,69.8690820247571,56.870425372856495,,
-9.0,69.73170761850047,60.389686089471326,69.73170761850048,56.735029749883516,,
-8.75,69.59453594457243,60.51185050443695,69.59453594457243,56.59982997821512,,
-8.5,69.4575673188368,60.63423181220639,69.4575673188368,56.46482638139567,,
-8.25,69.32080205418089,60.75682993829629,69.32080205418089,56.33001928058897,,
-8.0,69.18424046049692,60.87964480452246,69.18424046049694,56.195408994557305,,
-7.75,69.0478828446618,61.002676329000316,69.0478828446618,56.060995839640704,,
-7.5,68.91172951051871,61.12592442614617,68.91172951051871,55.92678012973578,,
-7.25,68.77578075885857,61.2493890066782,68.77578075885857,55.79276217627513,,
-7.0,68.64003688740101,61.373069977617554,68.64003688740101,55.658942288206944,,
-6.75,68.50449819077643,61.49696724229058,68.50449819077645,55.52532077197433,,
-6.5,68.36916496050782,61.621080700330666,68.36916496050782,55.39189793149544,,
-6.25,68.23403748499301,61.745410247680674,68.23403748499302,55.25867406814247,,
-6.0,68.09911604948672,61.869955776595916,68.09911604948672,55.125649480722785,,
-5.75,67.96440093608415,61.99471717564625,67.96440093608415,54.99282446545824,,
-5.5,67.82989242370189,62.11969432972054,67.82989242370189,54.8601993159659,,
-5.25,67.69559078806365,62.24488712002953,67.69559078806365,54.727774323238215,,
-5.0,67.5614963016816,62.37029542410975,67.5614963016816,54.595549775623944,,
-4.75,67.42760923384071,62.49591911582824,67.42760923384071,54.463525958808795,,
-4.5,67.29392985058219,62.62175806538633,67.29392985058219,54.331703155796475,,
-4.25,67.1604584146884,62.74781213932516,67.1604584146884,54.20008164688941,,
-4.0,67.02719518566624,62.87408120053039,67.02719518566624,54.068661709670735,,
-3.75,66.89414041973218,63.000565108238064,66.89414041973218,53.93744361898508,,
-3.5,66.76129436979747,63.12726371803968,66.76129436979747,53.80642764692059,,
-3.25,66.62865728545246,63.254176881888654,66.62865728545246,53.6756140627908,,
-3.0,66.49622941295252,63.38130444810696,66.49622941295252,53.54500313311633,,
-2.75,66.36401099520333,63.50864626139085,66.36401099520334,53.41459512160752,,
-2.5,66.23200227174718,63.63620216281908,66.23200227174718,53.28439028914612,,
-2.25,66.10020347874894,63.76397198985897,66.10020347874894,53.15438889376871,,
-2.0,65.96861484898207,63.8919555763747,65.96861484898207,53.02459119064877,,
-1.75,65.83723661181611,64.02015275263471,65.83723661181611,52.894997432080245,,
-1.5,65.70606899320299,64.14856334532064,65.70606899320299,52.76560786745997,,
-1.25,65.57511221566466,64.2771871775343,65.57511221566466,52.636422743271815,,
-1.0,65.4443664982804,64.40602406880808,65.4443664982804,52.507442303069816,,
-0.75,65.31383205667463,64.53507383511285,65.31383205667463,52.378666787461896,,
-0.5,65.1835091030052,64.66433628886774,65.1835091030052,52.25009643409425,,
-0.25,65.05339784595158,64.7938112389497,65.0533978459516,52.12173147763509,,
0.0,64.92349849070328,64.92349849070334,,,51.99357214975951,64.92349849070335
0.25,64.79381123894967,65.05339784595161,,,52.12173147763511,65.05339784595161
0.5,64.66433628886755,65.18350910300526,,,52.250096434094345,65.18350910300526
0.75,64.53507383511287,65.31383205667464,,,52.37866678746196,65.31383205667464
1.0,64.406024068808,65.44436649828043,,,52.507442303069865,65.44436649828044
1.25,64.27718717753437,65.57511221566476,,,52.63642274327175,65.57511221566476
1.5,64.14856334532064,65.706068993203,,,52.76560786746001,65.70606899320302
1.75,64.02015275263483,65.83723661181614,,,52.89499743208024,65.83723661181614
2.0,63.8919555763747,65.96861484898214,,,53.024591190648756,65.96861484898214
2.25,63.76397198985903,66.1002034787489,,,53.154388893768704,66.1002034787489
2.5,63.63620216281909,66.23200227174723,,,53.28439028914617,66.23200227174723
2.75,63.508646261390865,66.36401099520333,,,53.41459512160755,66.36401099520333
3.0,63.38130444810687,66.49622941295252,,,53.54500313311636,66.4962294129525
3.25,63.254176881888796,66.62865728545253,,,53.67561406279079,66.62865728545253
3.5,63.12726371803967,66.76129436979755,,,53.80642764692062,66.76129436979755
3.75,63.000565108238064,66.89414041973228,,,53.93744361898509,66.8941404197323
4.0,62.874081200530455,67.0271951856661,,,54.06866170967073,67.02719518566612
4.25,62.74781213932511,67.1604584146883,,,54.200081646889416,67.16045841468829
4.5,62.621758065386246,67.29392985058217,,,54.33170315579652,67.29392985058217
4.75,62.49591911582809,67.42760923384067,,,54.4635259588089,67.42760923384068
5.0,62.3702954241097,67.56149630168167,,,54.595549775623965,67.56149630168169
5.25,62.24488712002951,67.69559078806377,,,54.727774323238236,67.69559078806378
5.5,62.1196943297205,67.82989242370184,,,54.86019931596589,67.82989242370184
5.75,61.994717175646244,67.96440093608399,,,54.99282446545825,67.964400936084
6.0,61.86995577659586,68.09911604948684,,,55.125649480722835,68.09911604948684
6.25,61.74541024768064,68.234037484993,,,55.258674068142504,68.23403748499301
6.5,61.621080700330594,68.36916496050785,,,55.39189793149549,68.36916496050785
6.75,61.49696724229047,68.50449819077639,,,55.52532077197438,68.50449819077639
7.0,61.373069977617575,68.6400368874011,,,55.658942288206944,68.6400368874011
7.25,61.24938900667814,68.77578075885859,,,55.792762176275176,68.77578075885859
7.5,61.12592442614623,68.91172951051863,,,55.926780129735704,68.91172951051864
7.75,61.00267632900032,69.04788284466173,,,56.0609958396407,69.04788284466173
8.0,60.879644804522286,69.18424046049695,,,56.19540899455742,69.18424046049697
8.25,60.75682993829622,69.32080205418092,,,56.33001928058903,69.32080205418092
8.5,60.634231812206345,69.45756731883668,,,56.4648263813957,69.4575673188367
8.75,60.511850504436964,69.59453594457247,,,56.59982997821513,69.59453594457247
9.0,60.3896860894713,69.73170761850069,,,56.73502974988353,69.73170761850069
9.25,60.26773863809226,69.86908202475716,,,56.870425372856516,69.86908202475716
9.5,60.14600821738106,70.00665884452162,,,57.006016521230634,70.00665884452162
9.75,60.02449489071899,70.1444377560365,,,57.141802866764536,70.1444377560365
10.0,59.903198717786914,70.28241843462753,,,57.277784078900545,70.28241843462754
10.25,59.782119754567354,70.42060055272333,,,57.413959824785664,70.42060055272333
10.5,59.661258053344724,70.55898377987661,,,57.55032976929415,70.55898377987661
10.75,59.540613662707756,70.69756778278438,,,57.68689357504852,70.69756778278438
11.0,59.420186627550635,70.83635222530813,,,57.82365090244179,70.83635222530813
11.25,59.299976989075844,70.97533676849585,,,57.960601409659034,70.97533676849585
11.5,59.179984784796254,71.1145210706025,,,58.097744752699924,71.11452107060252
11.75,59.06021004853772,71.25390478711151,,,58.235080585401,71.25390478711151
12.0,58.94065281044296,71.39348757075629,,,58.37260855945703,71.39348757075629
12.25,58.821313096973746,71.53326907154198,,,58.510328324444124,71.533269071542
12.5,58.70219093091558,71.67324893676717,,,58.64823952784201,71.67324893676717
12.75,58.58328633138099,71.8134268110458,,,58.78634181505638,71.8134268110458
