u,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
0.0,62.06690107,62.06690107
1.0,62.5819871,62.5819871
2.0,63.10055011,63.10055011
3.0,63.62257709,63.62257709
