u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup
0.0,57.76358046,57.2051592,57.76358046
1.0,58.29637652,56.67572104,58.29637652
2.0,58.83228371,56.14945389,58.83228371
3.0,59.37128333,55.62637458,59.37128333
