u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup
0.0,68.14369819,63.74877071,54.51651153,56.84602503
1.0,67.63193964,64.24071111,55.04488975,56.32616591
2.0,67.12354156,64.73581878,55.57645238,55.80937859
3.0,66.6185151,65.23408369,56.11118089,55.29567812
