u,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
0.0,61.9421997,61.9421997
1.0,62.44124417,62.44124417
2.0,62.94345164,62.94345164
3.0,63.44881128,63.44881128
