u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,66.86433556697813,58.83915870234691,66.86433556697806,58.83915870234689
-7.0,66.33759853495957,59.31523711034555,66.33759853495962,59.315237110345464
-6.0,65.8141590466656,59.79474545315652,65.8141590466655,59.7947454531566
-5.0,65.29403223012754,60.27768014272495,65.29403223012756,60.27768014272492
-4.0,64.77723238380341,60.764036670871164,64.77723238380332,60.76403667087132
-3.0,64.2637729627797,61.253809610305126,64.26377296277967,61.25380961030518
-2.0,63.753666566034845,61.74699261685028,63.75366656603471,61.74699261685027
-1.0,63.24692492479119,62.24357843288436,63.24692492479119,62.24357843288433
0.0,62.80387144835059,62.68324633562189,63.22661699399919,62.269409843647026
1.0,62.24357843288435,63.2469249247913,62.24357843288432,63.246924924791216
2.0,61.746992616850214,63.75366656603476,61.746992616850186,63.7536665660347
3.0,61.25380961030524,64.26377296277978,61.25380961030518,64.26377296277973
4.0,60.76403667087115,64.77723238380335,60.76403667087123,64.77723238380335
5.0,60.277680142724904,65.29403223012751,60.27768014272493,65.29403223012747
6.0,59.79474545315648,65.81415904666551,59.794745453156494,65.81415904666552
7.0,59.31523711034541,66.33759853495967,59.31523711034541,66.33759853495965
8.0,58.839158702346914,66.86433556697804,58.83915870234682,66.86433556697801
9.0,58.36651289728877,67.39435419994001,58.36651289728867,67.39435419994003
10.0,57.89730144476776,67.92763769212897,57.897301444767685,67.92763769212894
11.0,57.43152517843636,68.46416851965844,57.43152517843633,68.46416851965846
12.0,58.94056605482492,71.39337604691266,58.940566054824984,71.39337604691264
13.0,58.4645141479604,71.95369055488796,58.46451414796041,71.95369055488798
14.0,57.99194369008301,72.51716172717632,57.99194369008305,72.51716172717627
15.0,57.522854848133896,73.08376606643935,57.522854848133846,73.08376606643941
16.0,57.05724685818416,73.65347942862685,57.05724685818414,73.6534794286268
17.0,56.59511803226225,74.22627704697658,56.59511803226219,74.22627704697658
18.0,56.1364657663045,74.80213355654226,56.13646576630454,74.80213355654223
19.0,55.6812865492036,75.38102301918279,55.68128654920354,75.38102301918278
20.0,55.22957597291769,75.96291894896021,55.22957597291781,75.96291894896008
21.0,54.78132874360817,76.5477943378904,54.78132874360811,76.54779433789048
22.0,54.336538693765284,77.1356216819815,54.33653869376524,77.13562168198146
23.0,53.895198795285694,77.72637300751231,53.89519879528569,77.72637300751236
24.0,53.45730117345634,78.32001989748612,53.45730117345626,78.32001989748616
25.0,53.02283712180365,78.91653351820823,53.02283712180375,78.91653351820831
26.0,52.591797117762994,79.51588464592903,52.59179711776284,79.51588464592908
27.0,52.16417083911987,80.11804369350071,52.164170839119976,80.11804369350064
28.0,51.73994718118004,80.72298073699123,51.739947181180135,80.7229807369911
29.0,51.31911427461521,81.3306655422089,51.31911427461518,81.33066554220892
30.0,50.90165950393898,81.94106759108197,50.90165950393891,81.94106759108189
31.0,50.4875695265619,82.55415610784698,50.48756952656196,82.55415610784698
32.0,50.07683029237852,83.16990008500065,50.07683029237841,83.16990008500059
33.0,49.66942706383238,83.78826830896833,49.66942706383245,83.78826830896848
34.0,49.265344436412704,84.40922938544658,49.26534443641276,84.40922938544652
35.0,48.864566359534486,85.03275176437887,48.86456635953451,85.03275176437884
36.0,48.467076157748075,85.65880376452847,48.467076157748124,85.6588037645285
37.0,48.072856552235784,86.28735359760817,48.072856552235784,86.28735359760819
38.0,47.681889682544224,86.91836939193547,47.68188968254426,86.91836939193547
39.0,47.29415712850744,87.5518192155809,47.2941571285075,87.55181921558093
