u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,71.77796113655727,64.916040971829,58.428986131233756,65.85939103507997,,
-7.0,71.32809161236943,65.32400938943461,58.87219151260602,65.37391742919851,,
-6.0,70.88102799533584,65.73474464448634,59.318232088107216,64.89123045992446,,
-5.0,70.4367705393739,66.14825250184121,59.767107402402885,64.41133654255498,,
-4.0,69.99531902346561,66.5645382838222,60.218816530762766,63.93424165341107,,
-3.0,69.55667275219321,66.98360686544765,60.67335807941794,63.459951325219315,,
-2.0,69.12083055667914,67.40546267001321,61.13073018632541,62.988470642851155,,
-1.0,68.68779079593034,67.83010966503886,61.59093052233874,62.51980423942513,,
0.0,68.2575516438362,68.25755107332694,62.05395629372036,62.053956291844386,,
1.0,67.83010966503886,68.68779079593035,62.51980423942513,61.59093052233874,,
2.0,67.40546267001322,69.12083055667915,62.988470642851155,61.1307301863254,,
3.0,66.98360686544765,69.55667275219321,63.45995132521932,60.67335807941794,,
4.0,66.56453828382222,69.99531902346561,63.934241653411064,60.218816530762766,,
5.0,66.14825250184121,70.4367705393739,64.41133654255496,59.76710740240289,,
6.0,65.73474464448636,70.88102799533584,64.89123045992447,59.318232088107216,,
7.0,65.32400938943458,71.32809161236945,65.37391742919853,58.87219151260602,,
8.0,64.916040971829,71.77796113655727,65.85939103507998,58.42898613123376,,
9.0,65.42257017446337,72.0141507507433,66.32152787343453,58.014732484804135,,
10.0,64.34458535212168,72.6300292084992,66.83190425052811,57.55784650613417,,
11.0,66.13244869199976,72.56232608751839,67.26305434906425,57.18578536050301,,
12.0,,64.47275356334411,62.971293969254404,,62.97129396925435,64.47275356334421
13.0,,65.01236913684119,63.54375181294253,,63.543751812942524,65.01236913684124
14.0,,65.55520416804279,64.11914716482181,,64.11914716482178,65.55520416804282
15.0,,66.1012581346233,64.69746740226216,,64.69746740226209,66.10125813462332
16.0,,66.65051603273676,65.27868960369273,,65.2786896036927,66.65051603273673
17.0,,67.20295857978029,65.86278791963704,,65.86278791963697,67.20295857978037
18.0,,67.75856461099623,66.4497352975747,,66.44973529757469,67.75856461099625
19.0,,68.31731182395033,67.03950402075392,,67.03950402075391,68.31731182395033
