nu,u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-6,1.0,5.65744735,9.12199676,-49.71789591,56.10931039,8.89961263,13.05543232,-36.78462216,61.2415873,7.16284735,10.62739676,-48.21249591,57.61471039,10.40501263,14.56083232,-35.27922216,62.7469873,-42.49855903
-5,1.0,6.01313918,9.41420689,-49.66834259,56.28346242,5.35613882,8.97473127,-48.98680518,56.49538182,7.51853918,10.91960689,-48.16294259,57.78886242,10.19360955,14.36754712,-35.40573064,62.53995015,-41.78433662
-4,1.0,6.17829331,9.50345378,-49.53057348,56.17978679,5.12521474,8.77892276,-49.29179739,56.42632511,7.68369331,11.00885378,-48.02517348,57.68518679,6.63061474,10.28432276,-47.78639739,57.93172511,-21.33059132
-3,1.0,6.49939071,9.96045782,-49.07275896,56.75785699,-15.53298619,-1.77704681,-52.96268339,52.11726477,8.00479071,11.46585782,-47.56735896,58.26325699,5.64300623,9.61261715,-48.14298308,57.24962551,-8.6550165
-2,1.0,-17.89906541,0.65784024,-52.26811522,53.09434347,-19.36406737,-0.64260833,-52.47216595,53.00308616,4.11443486,9.6260784,-48.42625644,57.25758994,2.64956962,8.32576263,-48.58725074,57.12065928,-9.27083687
-1,1.0,-24.24066726,-0.35036906,-53.21342249,52.64440298,-16.09047748,-8.22774686,-54.52837817,50.63803588,7.73517241,11.03911671,-48.45074176,57.83686579,-3.86079324,4.88122335,-49.54765066,55.89626186,-6.04427005
0,1.0,-29.10920773,-20.49265246,-57.63165244,48.05468174,-30.41339145,-21.52839686,-57.7819447,47.80755466,7.70098075,11.12723451,-48.51086342,57.96056291,6.39694683,10.09166487,-48.5284667,57.57384823,-7.04785281
1,1.0,-29.29314665,-7.73635049,-54.63512742,50.41750774,-16.44690368,-8.39193057,-54.5645955,50.60910907,-23.14631857,0.73119163,-51.28864043,53.97535655,-6.26035401,-3.11899814,-51.67339928,53.75117784,-6.99835225
2,1.0,-28.3111021,-19.41666683,-56.95972551,48.22015721,-27.83660252,-19.10034385,-56.19524737,48.81428275,-17.35688858,0.18618334,-51.5943043,53.90106151,-16.93403526,0.53611845,-50.76116974,54.42734323,-8.37392596
3,1.0,-23.8681314,-15.43449223,-56.75150993,47.99789865,-24.85852811,-16.27585861,-56.60501489,48.16253408,-12.47815467,0.86910408,-51.35170638,53.71001689,-23.35312811,-14.77045861,-55.09961489,49.66793408,-5.8045253
4,1.0,-24.65184249,-16.39324775,-57.22353437,48.26020818,-24.77732014,-16.22995979,-56.72605483,48.41780679,-23.14644249,-14.88784775,-55.71813437,49.76560818,-23.27192014,-14.72455979,-55.22065483,49.92320679,16.7678242
5,1.0,-27.41056368,-19.28669969,-61.2762755,36.64892391,-24.58014283,-16.12251076,-56.27450553,48.77734092,-22.29520762,-13.56968428,-55.22814011,49.94701481,-23.07474283,-14.61711076,-54.76910553,50.28274092,42.71313242
6,1.0,-27.6132755,-20.14230364,-61.77665797,35.87630736,-24.86230817,-16.39480035,-56.53891871,48.720701,-26.1078755,-18.63690364,-60.27125797,37.38170736,-23.35690817,-14.88940035,-55.03351871,50.226101,43.05120418
