u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown
-20.0,75.96303053962934,75.96303053962934,55.22964954409199,
-19.75,75.81727623518593,75.81727623518594,55.342252699789555,
-19.5,75.67170857007966,75.67170857007966,55.455072406574935,
-19.25,75.52632796733415,75.52632796733417,55.568108748864425,
-19.0,75.38113484798468,75.3811348479847,55.68136180763617,
-18.75,75.23612963105296,75.23612963105296,55.79483166041909,
-18.5,75.09131273352243,75.09131273352244,55.908518381280814,
-18.25,74.94668457031156,74.94668457031156,56.022422040816835,
-18.0,74.80224555425036,74.80224555425036,56.136542706139444,
-17.75,74.65799609605358,74.6579960960536,56.250880440867036,
-17.5,74.51393660429764,74.51393660429764,56.365435305113586,
-17.25,74.3700674853936,74.3700674853936,56.48020735547757,
-17.0,74.22638914356388,74.22638914356389,56.59519664503389,
-16.75,74.08290198081643,74.08290198081644,56.71040322332203,
-16.5,73.93960639692105,73.93960639692106,56.82582713633775,
-16.25,73.79650278938405,73.79650278938406,56.94146842652387,
-16.0,73.653591553424,73.65359155342401,57.05732713276061,
-15.75,73.51087308194764,73.51087308194765,57.173403290357726,
-15.5,73.36834776552527,73.36834776552527,57.28969693104524,
-15.25,73.2260159923668,73.2260159923668,57.406208082966145,
-15.0,73.08387814829743,73.08387814829743,57.52293677066789,
-14.75,72.94193461673447,72.94193461673447,57.639883015094725,
-14.5,72.80018577866278,72.8001857786628,57.757046833580645,
-14.25,72.65863201261166,72.65863201261166,57.87442823984229,
-14.0,72.51727369463092,72.51727369463092,57.99202724397209,
-13.75,72.37611119826778,72.37611119826778,58.109843852431624,
-13.5,72.23514489454377,72.23514489454378,58.22787806804552,
-13.25,72.09437515193079,72.09437515193079,58.346129889995304,
-13.0,71.95380233632972,71.95380233632972,58.464599313814205,
-12.75,71.81342681104567,71.81342681104567,58.583286331380926,
-12.5,71.67324893676712,71.67324893676714,58.70219093091562,
-12.25,71.53326907154202,71.53326907154202,58.821313096973824,
-12.0,71.39348757075636,71.39348757075636,58.94065281044306,
-11.75,71.25390478711152,71.25390478711154,59.06021004853775,
-11.5,71.11452107060248,71.11452107060248,59.179984784796275,
-11.25,70.97533676849586,70.97533676849588,59.29997698907582,
-11.0,70.83635222530816,70.83635222530816,59.42018662755061,
-10.75,70.69756778278432,70.69756778278432,59.540613662707734,
-10.5,70.55898377987668,70.55898377987668,59.66125805334473,
-10.25,70.42060055272337,70.42060055272337,59.78211975456732,
-10.0,70.28241843462746,70.28241843462747,59.903198717787006,
-9.75,70.14443775603647,70.14443775603647,60.02449489071893,
-9.5,70.00665884452155,70.00665884452155,60.14600821738102,
-9.25,69.8690820247571,69.8690820247571,60.267738638092325,
-9.0,69.73170761850047,69.73170761850047,60.38968608947132,
-8.75,69.59453594457241,69.59453594457243,60.51185050443696,
-8.5,69.4575673188368,69.4575673188368,60.634231812206394,
-8.25,69.32080205418089,69.3208020541809,60.75682993829629,
-8.0,69.18424046049692,69.18424046049692,60.87964480452246,
-7.75,69.0478828446618,69.0478828446618,61.00267632900032,
-7.5,68.91172951051871,68.91172951051871,61.125924426146184,
-7.25,68.77578075885857,68.77578075885859,61.2493890066782,
-7.0,68.64003688740101,68.64003688740101,61.37306997761756,
-6.75,68.50449819077645,68.50449819077645,61.49696724229058,
-6.5,68.36916496050782,68.36916496050782,61.621080700330666,
-6.25,68.23403748499301,68.23403748499301,61.745410247680674,
-6.0,68.09911604948672,68.09911604948674,61.86995577659593,
-5.75,67.96440093608413,67.96440093608415,61.99471717564625,
-5.5,67.82989242370188,67.82989242370189,62.11969432972054,
-5.25,67.69559078806364,67.69559078806364,62.24488712002953,
-5.0,67.5614963016816,67.56149630168161,62.37029542410975,
-4.75,67.42760923384071,67.42760923384071,62.49591911582824,
-4.5,67.29392985058219,67.29392985058219,62.62175806538633,
