u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-20.0,75.96303053962934,62.8727665439282,70.14232023331738,66.70920291111754,,,,
-19.75,75.81727623518593,62.72928557406907,70.0008223076103,66.56228037169103,,,,
-19.5,75.67170857007964,62.58598460576835,69.85951431193126,66.41553111466956,,,,
-19.25,75.52632796733415,62.442864043743455,69.71839662862959,66.26895556784918,,,,
-19.0,75.38113484798468,62.29992429131025,69.57746963790527,66.12255415797931,,,,
-18.75,75.23612963105296,62.157165750359376,69.43673371778549,65.97632731073968,,,,
-18.5,75.09131273352243,62.01458882133284,69.29618924410156,65.83027545071705,,,,
-18.25,74.94668457031156,61.872193903200625,69.15583659046398,65.6843990013823,,,,
-18.0,74.80224555425035,61.729981393437384,69.01567612824071,65.53869838506725,,,,
-17.75,74.6579960960536,61.587951687998604,68.87570822653205,65.39317402294112,,,,
-17.5,74.51393660429764,61.44610518129768,68.73593325214934,65.24782633498785,,,,
-17.25,74.37006748539359,61.304442266182456,68.59635156958981,65.10265573998251,,,,
-17.0,74.22638914356386,61.162963333911115,68.45696354101509,64.95766265546766,,,,
-16.75,74.08290198081643,61.02166877412962,68.31776952622707,64.8128474977305,,,,
-16.5,73.93960639692105,60.88055897484806,68.17876988264618,64.66821068177953,,,,
-16.25,73.79650278938405,60.73963432241686,68.03996496528794,64.52375262132045,,,,
-16.0,73.653591553424,60.5988952015039,67.90135512674047,64.37947372873337,,,,
-15.75,73.51087308194764,60.45834199507087,67.76294071714238,64.23537441504904,,,,
-15.5,73.36834776552527,60.31797508435051,67.62472208416003,64.09145508992582,,,,
-15.25,73.2260159923668,60.177794848822195,67.48669957296543,63.947716161625266,,,,
-15.0,73.08387814829743,60.03780166618992,67.34887352621409,63.80415803698955,,,,
-14.75,72.94193461673446,59.89799591235857,67.2112442840235,63.66078112141771,,,,
-14.5,72.8001857786628,59.75837796141028,67.07381218395074,63.51758581884163,,,,
-14.25,72.65863201261166,59.61894818558196,66.93657756097123,63.37457253170299,,,,
-14.0,72.51727369463093,59.47970695524197,66.79954074745702,63.231741660929735,,,,
-13.75,72.37611119826776,59.340654638866894,,59.34065463886689,45.266919753198806,,,
-13.5,72.23514489454377,59.201791603018926,,59.20179160301892,45.38350573318248,,,
-13.25,72.09437515193079,59.06311821232246,,59.06311821232246,45.50030512064512,,,
-13.0,71.95380233632972,58.92463482944135,,58.924634829441345,45.61731786534149,,,
-12.75,71.81342681104566,58.78634181505639,,58.78634181505639,45.73454391356574,,,
-12.5,71.67324893676712,58.64823952784201,,58.648239527842,45.85198320815209,,,
-12.25,71.53326907154202,58.51032832444409,,58.51032832444408,45.969635688477034,,,
-12.0,71.39348757075636,58.37260855945692,,58.37260855945692,46.08750129045979,,,
-11.75,71.25390478711152,58.235080585400986,,58.235080585400986,46.20557994656494,,,
-11.5,71.11452107060248,58.09774475269998,,58.097744752699974,46.32387158580434,,,
-11.25,70.97533676849586,57.96060140965904,,57.960601409659034,46.442376133739685,,,
-11.0,70.83635222530816,57.823650902441706,,57.8236509024417,46.5610935124854,,,
-10.75,70.69756778278432,57.68689357504851,,57.68689357504851,46.68002364071104,,,
-10.5,70.55898377987668,57.550329769294166,,57.55032976929416,46.79916643364541,,,
-10.25,70.42060055272337,57.413959824785685,,57.413959824785685,46.91852180307991,,,
-10.0,70.28241843462746,57.27778407890042,,57.27778407890042,47.038089657372204,,,
-9.75,70.14443775603647,57.14180286676459,,57.141802866764586,47.15786990145047,,,
-9.5,70.00665884452155,57.0060165212307,,57.00601652123069,47.27786243681814,,,
-9.25,69.8690820247571,56.8704253728565,,56.870425372856495,47.39806716155822,,,
-9.0,69.73170761850047,56.735029749883516,,56.735029749883516,47.518483970339005,,,
-8.75,69.59453594457243,56.59982997821512,,56.59982997821512,47.639112754418605,,,
-8.5,69.4575673188368,56.46482638139567,,56.46482638139567,47.75995340165095,,,
-8.25,69.32080205418089,56.33001928058897,,56.33001928058897,47.88100579649202,,,
-8.0,69.18424046049692,56.19540899455731,,56.195408994557305,48.00226982000514,,,
-7.75,69.0478828446618,56.06099583964071,,56.060995839640704,48.12374534986822,,,
-7.5,68.91172951051871,55.92678012973578,,55.92678012973578,48.24543226038027,,,
-7.25,68.77578075885857,55.79276217627513,,55.79276217627513,48.36733042246802,,,
-7.0,68.64003688740101,55.65894228820696,,55.658942288206944,48.48943970369381,,,
-6.75,68.50449819077643,55.52532077197433,,55.52532077197433,48.61175996826281,,,
-6.5,68.36916496050782,55.39189793149544,,55.39189793149544,48.734291077030846,,,
-6.25,68.23403748499301,55.258674068142476,,55.25867406814247,48.857032887512545,,,
-6.0,68.09911604948672,55.125649480722785,,55.125649480722785,48.979985253890035,,,
-5.75,67.96440093608415,54.99282446545824,,54.99282446545824,49.10314802702083,,,
-5.5,67.82989242370189,54.86019931596591,,54.8601993159659,49.226521054447886,,,
-5.25,67.69559078806365,54.727774323238215,,54.727774323238215,49.35010418040759,,,
-5.0,67.5614963016816,54.595549775623944,,54.595549775623944,49.473897245840135,,,
-4.75,67.42760923384071,54.463525958808795,,54.463525958808795,49.59790008839882,,,
-4.5,67.29392985058219,54.33170315579648,,54.331703155796475,49.72211254246031,,,
-4.25,67.1604584146884,54.200081646889416,,54.20008164688941,49.84653443913453,,,
-4.0,67.02719518566624,54.068661709670735,,54.068661709670735,49.97116560627557,,,
-3.75,66.89414041973218,53.93744361898508,,53.93744361898508,50.09600586849228,,,
-3.5,66.76129436979747,53.80642764692059,,53.80642764692059,50.22105504715918,,,
-3.25,66.62865728545246,53.67561406279081,,53.6756140627908,50.34631296042817,,,
-3.0,66.49622941295252,53.54500313311633,,53.54500313311633,50.47177942323958,,,
-2.75,66.36401099520333,53.41459512160752,,53.41459512160752,50.59745424733467,,,
-2.5,66.23200227174718,53.284390289146124,,53.28439028914612,50.72333724126664,,,
-2.25,66.10020347874894,53.15438889376872,,53.15438889376871,50.849428210414054,,,
-2.0,65.96861484898207,53.02459119064877,,53.02459119064877,50.97572695699271,,,
-1.75,65.83723661181611,52.894997432080245,,52.894997432080245,51.10223328006862,,,
-1.5,65.70606899320299,52.76560786745998,,52.76560786745997,51.22894697557122,,,
-1.25,65.57511221566466,52.636422743271815,,52.636422743271815,51.35586783630631,,,
-1.0,65.4443664982804,52.507442303069816,,52.507442303069816,51.48299565196987,,,
-0.75,65.31383205667463,52.3786667874619,,52.378666787461896,51.61033020916177,,,
-0.5,65.1835091030052,52.25009643409425,,52.25009643409425,51.737871291399756,,,
-0.25,65.05339784595158,52.121731477635095,,52.12173147763509,51.86561867913349,,,
0.0,,,,51.993572149759444,51.99357214975951,51.99357214975951,64.92349849070334,
0.25,,,,51.86561867913348,52.12173147763511,52.12173147763511,65.05339784595161,
0.5,,,,51.73787129139972,52.250096434094345,52.250096434094345,65.18350910300526,
0.75,,,,51.6103302091617,52.37866678746196,52.37866678746196,65.31383205667464,
1.0,,,,51.48299565196985,52.507442303069865,52.507442303069865,65.44436649828043,
