u,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
0.0,61.29491039,62.52526339,61.29491039
1.0,61.7908396,62.01333576,61.7908396
2.0,62.28993327,61.50488678,62.28993327
3.0,62.79218094,60.99992682,62.79218094
