u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-35.0,85.0327517643789,48.86456635953451,85.03275176437886,48.86456635953447
-34.5,84.72067238939361,49.0645433569769,84.72067238939377,49.06454335697687
-34.0,84.4092293854466,49.26534443641271,84.40922938544657,49.26534443641268
-33.5,84.09842670916171,49.46697166324784,84.0984267091618,49.46697166324794
-33.0,83.7882683089685,49.66942706383242,83.78826830896844,49.66942706383242
-32.5,83.4787581243355,49.87271262479389,83.47875812433543,49.87271262479393
-32.0,83.16990008500068,50.076830292378524,83.16990008500066,50.07683029237854
-31.5,82.86169811019256,50.281781971794445,82.86169811019249,50.28178197179455
-31.0,82.55415610784699,50.48756952656192,82.55415610784692,50.487569526561934
-30.5,82.24727797381783,50.69419477787022,82.24727797381767,50.6941947778701
-30.0,81.94106759108186,50.901659503939,81.94106759108189,50.90165950393918
-29.5,81.63552882893947,51.10996543938839,81.63552882893943,51.10996543938844
-29.0,81.3306655422089,51.31911427461519,81.33066554220889,51.31911427461522
-28.5,81.02648157041828,51.529107655176134,81.02648157041818,51.52910765517616
-28.0,80.72298073699113,51.73994718118007,80.72298073699096,51.73994718117999
-27.5,80.42016684843112,51.95163440668759,80.42016684843102,51.95163440668768
-27.0,80.11804369350048,52.16417083911988,80.11804369350048,52.16417083911982
-26.5,79.81661504239727,52.377557938676745,79.81661504239727,52.37755793867681
-26.0,79.51588464592922,52.59179711776291,79.51588464592903,52.59179711776294
-25.5,79.21585623468559,52.80688974042625,79.21585623468566,52.80688974042619
-25.0,78.91653351820833,53.02283712180366,78.91653351820835,53.02283712180366
-24.5,78.6179201841585,53.2396405275801,78.61792018415858,53.23964052758003
-24.0,78.32001989748616,53.45730117345616,78.32001989748603,53.45730117345624
-23.5,78.02283629959554,53.675820224629554,78.02283629959547,53.675820224629575
-23.0,77.72637300751228,53.89519879528565,77.7263730075123,53.89519879528567
-22.5,77.43063361305097,54.11543794810211,77.43063361305093,54.1154379481022
-22.0,77.1356216819816,54.33653869376518,77.13562168198145,54.33653869376509
-21.5,76.84134075319858,54.558501990499174,76.84134075319844,54.558501990499195
-21.0,76.54779433789048,54.78132874360813,76.54779433789038,54.78132874360816
-20.5,76.25498591871263,55.0050198050325,76.2549859187126,55.005019805032575
-20.0,75.96291894896035,55.22957597291797,75.9629189489603,55.22957597291792
-19.5,75.6715968517469,55.45499799120035,75.67159685174688,55.454997991200365
-19.0,75.38102301918276,55.68128654920352,75.38102301918275,55.68128654920361
-18.5,75.09120081156054,55.90844228125337,75.0912008115605,55.90844228125331
-18.0,74.80213355654229,56.13646576630449,74.80213355654217,56.13646576630448
-17.5,74.51382454835264,56.365357527586575,74.51382454835266,56.36535752758651
-17.0,74.22627704697656,56.59511803226223,74.22627704697663,56.595118032262185
-16.5,73.93949427736128,56.82574769110354,73.93949427736116,56.825747691103516
-16.0,73.65347942862675,57.05724685818411,73.65347942862665,57.057246858184094
-15.5,73.36823565328035,57.289615830587834,73.36823565328046,57.28961583058774
-15.0,73.08376606643944,57.52285484813384,73.08376606643954,57.522854848133825
-14.5,72.80007374506039,57.75696409312009,72.80007374506033,57.756964093120075
-14.0,72.51716172717624,57.99194369008303,72.51716172717627,57.99194369008302
-13.5,72.23503301114184,58.227793705575166,72.23503301114172,58.22779370557505
-13.0,71.9536905548881,58.46451414796051,71.95369055488798,58.46451414796027
-12.5,71.67313727518444,58.70210496722838,71.6731372751844,58.7021049672284
-12.0,71.3933760469126,58.940566054825126,71.39337604691268,58.940566054825034
-11.5,71.11440970234746,59.1798972435037,71.11440970234757,59.1798972435037
-11.0,70.83624103045071,59.4200983071929,70.83624103045078,59.42009830719308
-10.5,70.55887277617447,59.66116896088513,70.5588727761745,59.66116896088508
-10.0,70.2823076397755,59.903108860541536,70.2823076397753,59.90310886054138
-9.5,70.006548276142,60.14591760301798,70.00654827614196,60.14591760301795
-9.0,69.7315972941314,60.38959472601029,69.73159729413139,60.38959472601036
-8.5,69.45745725592201,60.63413970801708,69.45745725592201,60.63413970801697
-8.0,69.1841306763755,60.87955196832262,69.18413067637545,60.879551968322616
-7.5,68.91162002241371,61.12583086700004,68.91162002241381,61.12583086700006
-7.0,68.63992771241034,61.37297570493289,68.63992771241043,61.372975704932806
-6.5,68.3690561155925,61.620985723856016,68.36905611559249,61.620985723856066
-6.0,68.09900755146185,61.86986010641875,68.09900755146172,61.86986010641876
-5.5,67.82978428922566,62.11959797626259,67.8297842892257,62.11959797626262
-5.0,67.56138854724654,62.370198398124096,67.5613885472466,62.37019839812404
-4.5,67.29382249250438,62.62166037795295,67.29382249250442,62.62166037795291
-4.0,67.0270882400761,62.87398286305215,67.027088240076,62.8739828630523
-3.5,66.76118785263061,63.12716474223775,66.76118785263064,63.12716474223774
-3.0,66.49612333994004,63.3812048460154,66.49612333993998,63.38120484601543
-2.5,66.23189665840715,63.636101946780094,66.2318966584071,63.636101946780094
-2.0,65.96850971061036,63.89185475903255,65.96850971061023,63.89185475903253
-1.5,65.70596434486461,64.14846193961623,65.70596434486475,64.14846193961633
-1.0,65.44426235480186,64.4059220879727,65.44426235480182,64.40592208797267
-0.5,65.1834054789656,64.66423374641573,65.18340547896547,64.66423374641576
0.0,64.92339974336758,64.92339105748592,64.22653429533312,65.6291655591941
0.5,64.66423374641575,65.18340547896548,64.66423374641576,65.18340547896551
1.0,64.4059220879727,65.44426235480194,64.40592208797261,65.44426235480184
1.5,64.14846193961625,65.70596434486477,64.14846193961625,65.70596434486473
2.0,63.89185475903249,65.96850971061028,63.89185475903244,65.96850971061022
2.5,63.636101946780144,66.23189665840712,63.63610194678013,66.23189665840704
3.0,63.38120484601548,66.49612333994013,63.38120484601543,66.49612333994007
3.5,63.1271647422377,66.76118785263077,63.12716474223781,66.7611878526307
4.0,62.87398286305215,67.02708824007607,62.87398286305225,67.02708824007604
4.5,62.62166037795289,67.29382249250445,62.62166037795285,67.29382249250435
5.0,62.37019839812404,67.56138854724652,62.370198398124074,67.56138854724648
5.5,62.119597976262696,67.82978428922559,62.119597976262725,67.82978428922563
6.0,61.869860106418656,68.09900755146182,61.869860106418685,68.09900755146177
6.5,61.620985723856094,68.36905611559236,61.62098572385588,68.36905611559249
7.0,61.372975704932735,68.63992771241043,61.37297570493275,68.63992771241041
7.5,61.125830867000076,68.91162002241376,61.125830867000005,68.91162002241379
8.0,60.87955196832266,69.18413067637542,60.87955196832254,69.18413067637542
8.5,60.63413970801698,69.45745725592202,60.63413970801707,69.45745725592207
9.0,60.38959472601037,69.73159729413139,60.389594726010245,69.73159729413143
9.5,60.14591760301819,70.00654827614193,60.145917603017956,70.00654827614184
10.0,59.90310886054151,70.28230763977547,59.903108860541465,70.28230763977538
10.5,59.66116896088531,70.5588727761746,59.661168960885234,70.5588727761745
11.0,59.420098307193044,70.83624103045074,59.420098307193015,70.8362410304507
11.5,59.17989724350369,71.11440970234754,59.17989724350371,71.11440970234757
12.0,58.94056605482492,71.39337604691266,58.940566054824984,71.39337604691264
12.5,58.70210496722844,71.67313727518459,58.7021049672284,71.67313727518452
13.0,58.464514147960415,71.95369055488796,58.4645141479604,71.95369055488798
