u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Km_Sdown_to_LL1_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown
-8.0,65.1245827177761,59.53500430527657,57.94173718895265,65.28404795592104,,,
-7.0,65.3753916123694,59.37130938943459,58.29654066573102,64.79826658232352,,,
-6.0,64.92832799533585,59.782044644486334,58.742581241232216,64.31557961304947,,,
-5.0,64.48407053937392,60.19555250184122,59.191456555527886,63.83568569567997,,,
-4.0,64.04261902346562,60.61183828382221,59.64316568388776,63.35859080653607,,,
-3.0,63.6039727521932,61.030906865447655,60.09770723254294,62.884300478344315,,,
-2.0,63.168130556679145,61.452762670013215,60.5550793394504,62.412819795976155,,,
-1.0,62.73509079593033,61.877409665038854,61.01527967546374,61.94415339255012,,,
0.0,60.7112725301524,60.71127276309942,61.48470170363332,61.48470170677723,,,
1.0,61.877409665038854,62.73509079593034,61.94415339255012,61.01527967546374,,,
2.0,61.4527626700132,63.168130556679145,62.412819795976155,60.5550793394504,,,
3.0,61.03090686544762,63.6039727521932,62.884300478344315,60.097707232542945,,,
4.0,60.61183828382218,64.04261902346562,63.35859080653607,59.643165683887766,,,
5.0,60.19555250184122,64.48407053937393,63.83568569567997,59.191456555527886,,,
6.0,59.78204464448635,64.92832799533585,64.31557961304945,58.742581241232216,,,
7.0,59.371309389434586,65.3753916123694,64.7982665823235,58.29654066573102,,,
8.0,59.53500430527657,65.12458271777612,65.28404795592104,57.94173718895265,,,
9.0,60.03739704612285,,65.75149897904596,,59.17445072244152,65.98477729011805,
10.0,60.584571752475476,,66.18540499746655,,58.930167328983075,65.28693925577949,
11.0,63.932825155340055,,66.59208403489029,,58.41314108539325,62.12415742943096,
12.0,,64.47275356334411,62.971293969254404,,,64.47275356334421,62.97129396925435
13.0,,65.01236913684119,63.54375181294253,,,65.01236913684124,63.543751812942524
14.0,,65.55520416804279,64.11914716482181,,,65.55520416804282,64.11914716482178
15.0,,66.1012581346233,64.69746740226216,,,66.10125813462332,64.69746740226209
16.0,,66.65051603273676,65.27868960369273,,,66.65051603273673,65.2786896036927
17.0,,67.20295857978029,65.86278791963704,,,67.20295857978037,65.86278791963697
18.0,,67.75856461099623,66.4497352975747,,,67.75856461099625,66.44973529757469
19.0,,68.31731182395033,67.03950402075392,,,68.31731182395033,67.03950402075391
