u,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
0.0,64.59706288,64.59706288
1.0,65.11550136,65.11550136
2.0,65.63729924,65.63729924
3.0,66.16244269,66.16244269
