u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup
-20.0,48.74600691983757,70.37744979678706,70.37744979678706,
-19.75,48.86486633758938,70.22717095942389,70.22717095942389,
-19.5,48.98394109405025,70.07706131059427,70.07706131059427,
-19.25,49.10323113187182,69.92712130312592,69.9271213031259,
-19.0,49.222736390178774,69.77735138897806,69.77735138897806,
-18.75,49.342456804568535,69.62775201921787,69.62775201921787,
-18.5,49.462392307111784,69.4783236439967,69.47832364399669,
-18.25,49.582542826353354,69.32906671252627,69.32906671252627,
-18.0,49.70290828731291,69.17998167305527,69.17998167305527,
-17.75,49.82348861148663,69.03106897284496,69.03106897284495,
-17.5,49.944283716848304,68.88232905814583,68.88232905814583,
-17.25,50.06529351785171,68.73376237417344,68.73376237417342,
-17.0,50.18651792543242,68.58536936508412,68.58536936508412,
-16.75,50.30795684701075,68.43715047395133,68.43715047395133,
-16.5,50.429610186493825,68.28910614274166,68.28910614274166,
-16.25,50.551477844279006,68.14123681229006,68.14123681229006,
-16.0,50.673559717257554,67.99354292227616,67.99354292227616,
-15.75,50.79585569881775,67.84602491119992,67.8460249111999,
-15.5,50.918365678849106,67.69868321635765,67.69868321635765,
-15.25,51.0410895437464,67.55151827381695,67.55151827381695,
-15.0,51.16402717641466,67.40453051839323,67.40453051839323,
-14.75,51.287178456273125,67.25772038362513,67.25772038362513,
-14.5,51.41054325926127,67.11108830174972,67.11108830174972,
-14.25,51.534121457843746,66.96463470367851,66.96463470367851,
-14.0,51.65791292101598,66.81836001897312,66.81836001897312,
-13.75,51.781917514310486,66.67226467582047,66.67226467582047,
-13.5,51.906135099802604,66.52634910100885,66.52634910100885,
-13.25,52.03056553611775,66.38061371990294,66.38061371990293,
-13.0,52.15520867843768,66.23505895641948,66.23505895641946,
-12.75,52.280064378507866,66.08968523300335,66.08968523300335,
-12.5,52.40513248464467,65.94449297060221,65.94449297060221,
-12.25,52.53041284174375,65.79948258864295,65.79948258864295,
-12.0,52.65590529128697,65.65465450500649,65.65465450500649,
-11.75,52.781609671351525,65.51000913600393,65.51000913600392,
-11.5,52.90752581661799,65.36554689635147,65.36554689635147,
-11.25,53.03365355837946,65.2212681991468,65.2212681991468,
-11.0,53.15999272455072,65.0771734558438,65.0771734558438,
-10.75,53.28654313967685,64.93326307622908,64.93326307622907,
-10.5,53.413304624944004,64.78953746839704,64.78953746839703,
-10.25,53.54027699818872,64.64599703872555,64.64599703872555,
-10.0,53.66746007390814,64.5026421918519,64.5026421918519,
-9.75,53.79485366327044,64.35947333064867,64.35947333064865,
-9.5,53.9224575741259,64.21649085619885,64.21649085619885,
-9.25,54.05027161101751,64.07369516777227,64.07369516777227,
-9.0,54.17829557519287,63.93108666280151,63.93108666280151,
-8.75,54.306529264614944,63.78866573685733,63.788665736857325,
-8.5,54.43497247397442,63.64643278362509,63.64643278362509,
-8.25,54.56362499470195,63.50438819488038,63.50438819488038,
-8.0,54.6924866149797,63.36253236046537,63.362532360465366,
-7.75,54.82155711975476,63.220865668264906,63.220865668264906,
-7.5,54.95083629075178,63.07938850418268,63.079388504182674,
-7.25,55.08032390648561,62.93810125211735,62.93810125211734,
-7.0,55.21001974227542,62.79700429393915,62.79700429393915,
-6.75,55.33992357025781,62.65609800946605,62.65609800946605,
-6.5,55.47003515940084,62.51538277644071,62.51538277644071,
-6.25,55.60035427551793,62.37485897050601,62.37485897050601,
-6.0,55.73088068128281,62.234526965183015,62.234526965183015,
-5.75,55.86161413624313,62.09438713184686,62.09438713184686,
-5.5,55.99255439683657,61.95443983970377,61.95443983970376,
-5.25,56.123701216404555,61.81468545576803,61.81468545576802,
-5.0,56.25505434520862,61.67512434483909,61.67512434483909,
-4.75,56.38661353044537,61.535756869478575,61.535756869478575,
-4.5,56.51837851626275,61.396583389987626,61.396583389987626,
-4.25,56.65034904377541,61.25760426438387,61.257604264383865,
-4.0,56.7825248510815,61.118819848379545,61.11881984837953,
-3.75,56.914905673278845,60.98023049535828,60.98023049535828,
-3.5,57.047491242481506,60.84183655635333,60.84183655635332,
-3.25,57.18028128783713,60.703638380025296,60.70363838002529,
-3.0,57.31327553554342,60.56563631263977,60.56563631263976,
-2.75,57.44647370886628,60.427830698045796,60.42783069804579,
-2.5,57.57987552815625,60.290221877653515,60.290221877653515,
-2.25,57.71348071086738,60.152810190413064,60.15281019041306,
-2.0,57.847288971574365,60.01559597279247,60.01559597279247,
-1.75,57.98130002199099,59.87857955875696,59.87857955875696,
-1.5,58.11551357098862,59.741761279746754,59.74176127974675,
-1.25,58.249929324614364,59.60514146465677,59.60514146465677,
-1.0,58.38454698611005,59.46872043981533,59.468720439815314,
-0.75,58.5193662559311,59.3324985289632,59.33249852896319,
-0.5,58.654386831765805,59.19647605323326,59.19647605323326,
-0.25,58.78960840855416,59.06065333112967,59.06065333112967,
0.0,58.925030678507966,58.925030678507895,,58.92503067850795
0.25,59.0606533311297,58.789608408554145,,59.06065333112969
0.5,59.19647605323337,58.65438683176578,,59.19647605323336
0.75,59.33249852896324,58.51936625593105,,59.332498528963235
1.0,59.46872043981539,58.38454698611002,,59.468720439815385
1.25,59.60514146465671,58.249929324614264,,59.605141464656704
1.5,59.741761279746804,58.11551357098866,,59.7417612797468
1.75,59.878579558756954,57.981300021990975,,59.878579558756954
2.0,60.015595972792475,57.84728897157435,,60.01559597279247
2.25,60.15281019041305,57.713480710867344,,60.15281019041305
2.5,60.29022187765355,57.57987552815626,,60.29022187765354
2.75,60.42783069804584,57.446473708866236,,60.42783069804583
3.0,60.56563631263981,57.313275535543404,,60.5656363126398
3.25,60.70363838002529,57.18028128783708,,60.70363838002528
3.5,60.84183655635337,57.04749124248149,,60.84183655635336
3.75,60.980230495358285,56.91490567327876,,60.98023049535828
4.0,61.118819848379516,56.78252485108155,,61.1188198483795
4.25,61.2576042643839,56.65034904377549,,61.2576042643839
4.5,61.39658338998768,56.51837851626278,,61.39658338998768
4.75,61.535756869478696,56.38661353044545,,61.535756869478696
5.0,61.675124344839126,56.255054345208485,,61.675124344839126
5.25,61.81468545576806,56.12370121640445,,61.81468545576806
5.5,61.954439839703774,55.992554396836574,,61.95443983970377
5.75,62.09438713184687,55.861614136243205,,62.09438713184687
6.0,62.234526965183065,55.73088068128276,,62.234526965183065
6.25,62.37485897050605,55.600354275518,,62.37485897050605
6.5,62.51538277644076,55.47003515940074,,62.51538277644076
6.75,62.65609800946612,55.339923570257795,,62.65609800946612
7.0,62.797004293939146,55.21001974227542,,62.79700429393914
7.25,62.93810125211739,55.08032390648558,,62.93810125211738
7.5,63.079388504182596,54.95083629075171,,63.07938850418259
7.75,63.220865668264906,54.821557119754836,,63.220865668264906
8.0,63.362532360465465,54.692486614979615,,63.362532360465465
8.25,63.50438819488045,54.56362499470193,,63.50438819488045
8.5,63.646432783625116,54.434972473974454,,63.646432783625116
8.75,63.78866573685735,54.30652926461489,,63.78866573685734
9.0,63.931086662801526,54.17829557519283,,63.931086662801526
9.25,64.07369516777229,54.05027161101748,,64.07369516777229
9.5,64.21649085619879,53.92245757412581,,64.21649085619879
9.75,64.3594733306486,53.79485366327041,,64.3594733306486
10.0,64.50264219185205,53.66746007390809,,64.50264219185203
10.25,64.64599703872555,53.54027699818881,,64.64599703872554
10.5,64.78953746839704,53.413304624944104,,64.78953746839704
10.75,64.9332630762291,53.286543139676866,,64.9332630762291
11.0,65.07717345584389,53.15999272455067,,65.07717345584389
11.25,65.22126819914679,53.033653558379534,,65.22126819914679
11.5,65.36554689635143,52.90752581661795,,65.36554689635142
11.75,65.51000913600393,52.781609671351546,,65.51000913600393
12.0,65.65465450500659,52.65590529128697,,65.65465450500659
12.25,65.799482588643,52.530412841743754,,65.79948258864299
12.5,65.94449297060224,52.405132484644675,,65.94449297060224
12.75,66.08968523300334,52.280064378507824,,66.08968523300334
13.0,66.23505895641946,52.155208678437596,,66.23505895641946
13.25,66.38061371990294,52.03056553611778,,66.38061371990294
13.5,66.52634910100885,51.9061350998026,,66.52634910100885
13.75,66.6722646758205,51.781917514310386,,66.6722646758205
14.0,66.81836001897314,51.65791292101598,,66.81836001897314
14.25,66.9646347036785,51.53412145784369,,66.9646347036785
14.5,67.1110883017498,51.41054325926122,,67.11108830174979
14.75,67.25772038362513,51.287178456273125,,67.25772038362513
15.0,67.4045305183933,51.164027176414606,,67.4045305183933
15.25,67.55151827381688,51.04108954374646,,67.55151827381688
15.5,67.69868321635762,50.9183656788491,,67.69868321635761
15.75,67.84602491120002,50.79585569881778,,67.84602491120002
16.0,67.99354292227622,50.67355971725759,,67.99354292227622
16.25,68.1412368122901,50.55147784427903,,68.1412368122901
16.5,68.28910614274173,50.42961018649378,,68.28910614274173
16.75,68.43715047395143,50.307956847010715,,68.43715047395143
17.0,68.58536936508418,50.18651792543246,,68.58536936508418
17.25,68.73376237417345,50.065293517851615,,68.73376237417344
17.5,68.88232905814584,49.94428371684832,,68.88232905814584
17.75,69.03106897284493,49.82348861148661,,69.03106897284493
18.0,69.17998167305525,49.70290828731294,,69.17998167305525
18.25,69.32906671252633,49.58254282635332,,69.32906671252633
18.5,69.47832364399673,49.46239230711174,,69.47832364399673
18.75,69.62775201921788,49.342456804568485,,69.62775201921788
19.0,69.77735138897812,49.222736390178774,,69.7773513889781
19.25,69.92712130312589,49.10323113187188,,69.92712130312587
19.5,70.07706131059423,48.98394109405017,,70.07706131059423
19.75,70.22717095942383,48.864866337589326,,70.22717095942383
20.0,70.3774497967871,48.74600691983756,,70.3774497967871
20.25,70.52789736901094,48.627362894615814,,70.52789736901094
20.5,70.67851322160121,48.50893431221858,,70.6785132216012
20.75,70.82929689926515,48.3907212194145,,70.82929689926515
21.0,70.98024794593536,48.27272365944742,,70.98024794593536
21.25,71.13136590479256,48.154941672037545,,71.13136590479256
21.5,71.28265031828892,48.037375293383235,,71.28265031828892
21.75,71.4341007281711,47.92002455616302,,71.4341007281711
22.0,71.58571667550333,47.80288948953746,,71.58571667550333
22.25,71.73749770068987,47.68597011915178,,71.73749770068987
22.5,71.88944334349833,47.56926646713896,,71.88944334349833
22.75,72.04155314308207,47.45277855212225,,72.04155314308207
23.0,72.19382663800272,47.33650638921874,,72.19382663800272
23.25,72.34626336625291,47.22044999004313,,72.34626336625291
23.5,72.4988628652786,47.104609362711436,,72.4988628652786
23.75,72.65162467200125,46.98898451184524,,72.65162467200125
24.0,72.80454832284005,46.87357543857596,,72.80454832284005
24.25,72.95763335373448,46.75838214055011,,72.95763335373448
24.5,73.11087930016538,46.64340461193376,,73.11087930016538
24.75,73.26428569717783,46.52864284341795,,73.26428569717783
25.0,73.41785207940227,46.41409682222456,,73.41785207940227
25.25,73.5715779810762,46.29976653211183,,73.5715779810762
25.5,73.72546293606622,46.185651953380635,,73.72546293606622
25.75,73.87950647788897,46.071753062880674,,73.87950647788895
26.0,74.0337081397326,45.958069834017365,,74.0337081397326
26.25,74.18806745447796,45.84460223675869,,74.18806745447796
26.5,74.34258395471969,45.731350237642246,,74.34258395471969
26.75,74.49725717278731,45.618313799782776,,74.49725717278731
27.0,74.65208664076593,45.505492882879864,,74.65208664076593
27.25,74.80707189051684,45.39288744322617,,74.80707189051684
27.5,74.96221245369836,45.28049743371502,,74.96221245369834
27.75,75.11750786178608,45.16832280384953,,75.11750786178608
28.0,75.27295764609343,45.05636349975097,,75.27295764609343
28.25,75.42856133779122,44.944619464168,,75.42856133779122
28.5,75.58431846792908,44.83309063648549,,75.58431846792908
28.75,75.74022856745374,44.72177695273466,,75.74022856745374
29.0,75.89629116723015,44.6106783456023,,75.89629116723015
29.25,76.05250579806031,44.4997947444407,,76.05250579806031
29.5,76.20887199070323,44.38912607527854,,76.20887199070322
29.75,76.36538927589429,44.27867226083035,,76.36538927589429
30.0,76.52205718436412,44.16843322050811,,76.52205718436412
30.25,76.6788752468584,44.05840887043168,,76.6788752468584
30.5,76.83584299415627,43.94859912344026,,76.83584299415625
30.75,76.99295995708923,43.83900388910339,,76.99295995708923
31.0,77.15022566656005,43.72962307373308,,77.15022566656005
31.25,77.30763965356104,43.62045658039547,,77.30763965356104
31.5,77.46520144919299,43.51150430892261,,77.46520144919297
31.75,77.62291058468276,43.40276615592529,,77.62291058468276
32.0,77.78076659140163,43.29424201480505,,77.78076659140163
32.25,77.9387690008835,43.185931775767486,,77.9387690008835
32.5,78.09691734484235,43.0778353258347,,78.09691734484235
32.75,78.25521115519021,42.96995254885868,,78.25521115519021
33.0,78.41364996405427,42.86228332553477,,78.41364996405427
33.25,78.57223330379507,42.75482753341498,,78.57223330379506
33.5,78.73096070702256,42.64758504692223,,78.73096070702255
33.75,78.88983170661417,42.54055573736392,,78.88983170661417
34.0,79.04884583573104,42.433739472946186,,79.04884583573104
34.25,79.20800262783504,42.327136118788474,,79.20800262783503
34.5,79.3673016167058,42.220745536938175,,79.3673016167058
34.75,79.52674233645631,42.11456758638496,,79.52674233645631
35.0,79.68632432154985,42.008602123076216,,79.68632432154983
35.25,79.84604710681572,41.902848999932075,,79.8460471068157
35.5,80.00591022746602,41.797308066860616,,80.00591022746602
35.75,80.1659132191101,41.6919791707734,,80.16591321911008
36.0,80.32605561777183,41.586862155601494,,80.32605561777183
36.25,80.48633695990368,41.48195686231074,,80.48633695990367
36.5,80.64675678240322,41.37726312891831,,80.6467567824032
36.75,80.80731462262767,41.272780790508804,,80.80731462262767
37.0,80.96801001840892,41.16850967925025,,80.96801001840892
37.25,81.12884250806911,41.06444962441135,,81.1288425080691
37.5,81.28981163043451,40.96060045237762,,81.28981163043451
37.75,81.45091692485055,40.85696198666823,,81.45091692485053
38.0,81.6121579311962,40.7535340479535,,81.61215793119618
38.25,81.77353418989816,40.65031645407164,,81.77353418989816
38.5,81.93504524194508,40.5473090200463,,81.93504524194506
38.75,82.09669062890141,40.44451155810368,,82.0966906289014
39.0,82.25846989292108,40.34192387769073,,82.25846989292108
39.25,82.42038257676138,40.23954578549226,,82.42038257676137
39.5,82.58242822379628,40.137377085449344,,82.58242822379628
39.75,82.74460637802977,40.0354175787772,,82.74460637802976
40.0,82.90691658410886,39.93366706398301,,82.90691658410884
40.25,83.06935838733713,39.8321253368846,,83.06935838733713
40.5,83.23193133368684,39.730792190628726,,83.23193133368683
40.75,83.39463496981183,39.62966741570969,,83.39463496981182
41.0,83.55746884306063,39.52875079998773,,83.55746884306063
41.25,83.7204325014878,39.428042128707986,,83.7204325014878
41.5,83.88352549386728,39.32754118451946,,83.88352549386728
41.75,84.04674736970331,39.22724774749403,,84.0467473697033
42.0,84.21009767924312,39.12716159514517,,84.21009767924312
42.25,84.37357597348876,39.027282502447555,,84.37357597348876
42.5,84.53718180420755,38.927610241856364,,84.53718180420755
42.75,84.70091472394526,38.828144583326484,,84.70091472394526
43.0,84.86477428603557,38.72888529433204,,84.86477428603557
43.25,85.0287600446128,38.62983213988638,,85.0287600446128
43.5,85.19287155462142,38.5309848825612,,85.1928715546214
43.75,85.35710837182808,38.43234328250672,,85.35710837182808
44.0,85.52147005283159,38.33390709747154,,85.52147005283159
44.25,85.68595615507354,38.23567608282241,,85.68595615507353
44.5,85.8505662368486,38.137649991564324,,85.85056623684859
44.75,86.01529985731499,38.03982857436073,,86.01529985731499
45.0,86.18015657650429,37.942211579553735,,86.18015657650427
45.25,86.3451359553313,37.84479875318421,,86.34513595533129
45.5,86.51023755560384,37.747589839012136,,86.51023755560384
45.75,86.67546094003251,37.65058457853715,,86.67546094003251
46.0,86.84080567223972,37.55378271101882,,86.84080567223972
46.25,87.00627131676949,37.457183973497266,,87.00627131676949
46.5,87.17185743909613,37.36078810081375,,87.17185743909613
46.75,87.33756360563379,37.264594825631306,,87.33756360563379
47.0,87.50338938374415,37.168603878455095,,87.50338938374415
47.25,87.66933434174692,37.07281498765388,,87.66933434174692
47.5,87.83539804892675,36.97722787947983,,87.83539804892675
47.75,88.00158007554246,36.88184227809015,,88.00158007554245
48.0,88.167879992835,36.78665790556753,,88.16787999283498
48.25,88.33429737303591,36.691674481941206,,88.3342973730359
48.5,88.50083178937493,36.59689172520764,,88.50083178937493
48.75,88.66748281608776,36.50230935135188,,88.66748281608774
49.0,88.83425002842422,36.40792707436836,,88.83425002842421
49.25,89.00113300265542,36.31374460628168,,89.00113300265542
49.5,89.16813131608124,36.21976165716807,,89.16813131608123
49.75,89.3352445470375,36.12597793517614,,89.3352445470375
50.0,89.50247227490365,36.03239314654823,,89.50247227490365
50.25,89.66981408010882,35.939006995641435,,89.66981408010881
50.5,89.83726954413918,35.845819184948425,,89.83726954413916
50.75,90.00483824954472,35.75282941511928,,90.00483824954472
51.0,90.17251977994587,35.66003738498168,,90.17251977994586
51.25,90.34031372003946,35.56744279156298,,90.34031372003945
51.5,90.50821965560576,35.47504533011086,,90.50821965560574
51.75,90.67623717351383,35.38284469411448,,90.67623717351381
52.0,90.84436586172822,35.29084057532598,,90.84436586172822
52.25,91.01260530931448,35.199032663781146,,91.01260530931447
52.5,91.180955106445,35.10742064782111,,91.180955106445
52.75,91.34941484440515,35.016004214113025,,91.34941484440515
53.0,91.51798411559778,34.92478304767151,,91.51798411559778
53.25,91.68666251354966,34.833756831879754,,91.68666251354966
53.5,91.85544963291603,34.7429252485103,,91.85544963291602
