u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-2.0,-26.501103617907475,-17.705984425084267,-57.31997285717996,48.26252528552601,-24.403810687485187,-15.931524651621311,-57.453794762637635,47.960330107411174,-24.995703617907477,-16.200584425084262,-55.81457285717996,49.76792528552602,-22.898410687485192,-14.426124651621311,-55.94839476263763,49.465730107411176,16.76710272789493
-1.0,-25.976804718771465,-17.26235778849999,-57.34835298142825,48.18190456630189,-24.928151803783265,-16.375121625091293,-57.41526550010445,48.030800462881345,-24.471404718771467,-15.756957788499989,-55.84295298142825,49.68730456630189,-23.422751803783267,-14.869721625091294,-55.90986550010444,49.53620046288135,16.580539418895025
0.0,-25.452485291441416,-16.818734759517287,-57.38011757328205,48.10466064090943,-25.452485291441416,-16.818734759517287,-57.38011757328205,48.10466064090943,-23.947085291441418,-15.313334759517288,-55.87471757328204,49.61006064090943,-23.947085291441418,-15.313334759517288,-55.87471757328204,49.61006064090943,16.39566294069607
1.0,-24.928151803783265,-16.375121625091293,-57.41526550010445,48.030800462881345,-25.976804718771465,-17.26235778849999,-57.34835298142825,48.18190456630189,-23.422751803783267,-14.869721625091294,-55.90986550010444,49.53620046288135,-24.471404718771467,-15.756957788499989,-55.84295298142825,49.68730456630189,16.580539418895025
2.0,-24.403810687485187,-15.931524651621311,-57.453794762637635,47.960330107411174,-26.501103617907475,-17.705984425084267,-57.31997285717996,48.26252528552601,-22.898410687485192,-14.426124651621311,-55.94839476263763,49.465730107411176,-24.995703617907477,-16.200584425084262,-55.81457285717996,49.76792528552602,16.76710272789493
3.0,-23.8794683340362,-15.487950079389956,-57.495702498489635,47.89325476662546,-27.02537548882772,-18.149608367349405,-57.2949774641705,48.34651497259067,-22.3740683340362,-13.982550079389954,-55.99030249848963,49.39865476662546,-25.519975488827722,-16.644208367349403,-55.78957746417049,49.85191497259067,16.955352343617754
