nu,u,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-6,1.0,,,59.46866543257819,59.46866543257819,,,,
-5,1.0,58.38449308976651,,59.4686654325782,59.46866543257819,,,,
-4,1.0,58.38449308976652,58.38449308976651,59.46866543257819,59.46866543257819,,,,
-3,1.0,51.48301470469393,58.38449308976651,59.4686654325782,59.46866543257819,,,,
-2,1.0,51.48301470469393,58.38449308976651,52.50746016150416,59.46866543257819,,,,
-1,1.0,51.48301470469393,51.48301470469393,52.50746016150416,59.46866543257819,,,,
0,1.0,,46.87527967546374,,47.80415339255012,69.71740966503887,70.57509079593035,,
1,1.0,,51.48301470469393,52.50746016150416,52.50746016150415,,65.44426235480182,,
2,1.0,,51.48301470469392,,52.50746016150416,64.40592208797257,65.44426235480184,,
3,1.0,,,,52.50746016150415,64.40592208797257,65.44426235480182,,65.44426235480184
4,1.0,,,,,64.40592208797257,65.44426235480184,64.40592208797257,65.44426235480184
5,1.0,,,,,,65.44426235480184,64.40592208797257,65.44426235480184
6,1.0,,,,,,65.44426235480182,,65.44426235480184
