u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,80.96066792939588,69.36398104322741,63.09463177730886,75.23436328868841,,
-7.0,80.46807429043031,69.79700574645518,63.56666354103273,74.70551379149109,,
-6.0,79.97888891668907,70.23344289770021,64.04211918397073,74.1798796207999,,
-5.0,79.49312024012843,70.67329778726891,64.52099217104555,73.65747894151058,,
-4.0,79.01077576434885,71.11657482545408,65.00327510632845,73.13832922650715,,
-3.0,78.53186209669704,71.56327749215441,65.48895969749134,72.62244727077982,,
-2.0,78.0563849789171,72.01340829180151,65.97803672915597,72.1098492076462,,
-1.0,77.58434933644101,72.4669686924374,66.47049602456207,71.60055054544871,,
0.0,77.11575937268137,72.92395902202108,66.96632637178097,71.0945662512616,,
1.0,76.65061876209244,73.38437826772852,67.46551536817744,70.59191093728965,,
2.0,76.18893107127417,73.84822364832547,67.96804907313235,70.09259928469771,,
3.0,75.730700754373,74.31548961257153,68.47391117580712,69.59664706635209,,
4.0,75.2759357652403,74.78616522116523,68.98308079801379,69.10407385796752,,
5.0,74.82465542510909,75.2602262819445,69.49552587005334,68.61491124389225,,
6.0,74.37691905062694,75.73760680698172,70.01117907134044,68.1292327499844,,
7.0,73.93296364384955,76.21806213544616,70.5298224882234,67.64729802552243,,
8.0,73.9039336173264,74.18487377413928,68.96785198635104,67.5802032567492,,
9.0,73.4663545461434,74.69295418609039,69.50956630706786,67.10454934096067,,
10.0,73.03220281568892,75.20436688998959,70.05442491475216,66.63230593776397,,
11.0,75.24471250559,75.30621239254388,70.18952108699888,69.0036618720542,,
12.0,,64.47275356334411,62.971293969254404,,62.97129396925435,64.47275356334421
13.0,,65.01236913684119,63.54375181294253,,63.543751812942524,65.01236913684124
14.0,,65.55520416804279,64.11914716482181,,64.11914716482178,65.55520416804282
15.0,,66.1012581346233,64.69746740226216,,64.69746740226209,66.10125813462332
16.0,,66.65051603273676,65.27868960369273,,65.2786896036927,66.65051603273673
17.0,,67.20295857978029,65.86278791963704,,65.86278791963697,67.20295857978037
18.0,,67.75856461099623,66.4497352975747,,66.44973529757469,67.75856461099625
19.0,,68.31731182395033,67.03950402075392,,67.03950402075391,68.31731182395033
20.0,,68.87917706498085,67.63206591998954,,67.63206591998957,68.87917706498087
21.0,,69.44413646292202,68.2273924766011,,68.22739247660111,69.44413646292206
22.0,,70.01216550447685,68.82545488352989,,68.82545488352994,70.01216550447683
23.0,,70.5832390848292,69.4262240883866,,69.42622408838675,70.58323908482922
24.0,,71.15733154682485,70.02967082782756,,70.02967082782757,71.15733154682489
25.0,,71.73441671449714,70.63576565733597,,70.63576565733597,71.73441671449717
26.0,,72.3144679236228,71.24447897831138,,71.24447897831138,72.31446792362277
27.0,,72.89745805062662,71.85578106340688,,71.8557810634069,72.89745805062662
28.0,,73.48335954050835,72.469642080607,,72.46964208060713,73.48335954050842
29.0,,74.0721444341459,73.08603211631262,,73.08603211631272,74.07214443414594
30.0,,74.66378439515788,73.70492119758052,,73.70492119758055,74.66378439515788
31.0,,75.2582507364184,74.32627931359998,,74.32627931360004,75.25825073641838
32.0,,75.85551444626552,74.95007643645341,,74.95007643645356,75.85551444626546
33.0,,76.45554621441354,75.576282541188,,75.57628254118801,76.4555462144135
34.0,,77.05831645755947,76.2048676252107,,76.20486762521064,77.05831645755941
35.0,,77.66379534467058,76.8358017270127,,76.8358017270127,77.66379534467049
36.0,,78.27195282192528,77.4690549442276,,77.46905494422755,78.27195282192525
37.0,,78.88275863728416,78.10459745102203,,78.1045974510221,78.88275863728413
38.0,,79.49618236465876,78.74239951482033,,78.74239951482025,79.49618236465875
39.0,,80.1121614167892,79.38181524380539,,79.38181524380545,80.1121614167892
