u,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
0.0,64.38307079,64.0299823,64.38307079
1.0,64.89985168,63.51669909,64.89985168
2.0,65.41997513,63.00679701,65.41997513
3.0,65.94342754,62.50028695,65.94342754
