u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
1.0,64.40602406843405,65.44436649789994,64.40602406843405,65.44436649789994
2.0,63.89195557600436,65.9686148485991,63.891955576004364,65.96861484859912
3.0,63.381304447741094,66.49622941256756,63.381304447741094,66.49622941256756
4.0,62.87408120016931,67.02719518527965,62.874081200169314,67.02719518527967
5.0,62.370295423753845,67.56149630129417,62.37029542375385,67.56149630129417
6.0,61.86995577624555,68.09911604909888,61.869955776245554,68.0991160490989
7.0,61.373069977273175,68.64003688701327,61.373069977273175,68.64003688701327
8.0,60.87964480418415,69.18424046010963,60.87964480418415,69.18424046010963
9.0,60.389686089139715,69.7317076181142,60.38968608913973,69.7317076181142
10.0,59.90319871746229,70.28241843424267,59.90319871746229,70.28241843424269
11.0,59.420186627233065,70.83635222492535,59.420186627233065,70.83635222492535
