-8.0,-8.0
-7.0,-7.0
-6.0,-6.0
-5.0,-5.0
-4.0,-4.0
-3.0,-3.0
-2.0,-2.0
-1.0,-1.0
0.0,0.0
1.0000000000000009,1.0000000000000009
2.0,2.0
2.999999999999999,2.999999999999999
4.0,4.0
5.000000000000001,5.000000000000001
6.0,6.0
6.999999999999999,6.999999999999999
8.0,8.0
9.000000000000002,9.000000000000002
10.000000000000002,10.000000000000002
11.0,11.0
12.0,12.0
13.000000000000002,13.000000000000002
13.999999999999998,13.999999999999998
15.0,15.0
16.0,16.0
17.0,17.0
18.000000000000004,18.000000000000004
19.0,19.0
20.0,20.0
21.0,21.0
22.0,22.0
23.0,23.0
24.0,24.0
25.0,25.0
26.000000000000004,26.000000000000004
27.000000000000004,27.000000000000004
28.000000000000004,28.000000000000004
28.999999999999996,28.999999999999996
30.0,30.0
