nu,u,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-6,1.0,,,59.468665432578106,59.4686654325781,,,,
-5,1.0,58.3844930897665,,59.468665432578106,59.468665432578106,,,,
-4,1.0,58.3844930897665,58.384493089766494,59.46866543257811,59.468665432578106,,,,
-3,1.0,51.48301470469393,58.384493089766494,59.468665432578106,59.46866543257809,,,,
-2,1.0,51.48301470469393,58.384493089766494,52.507460161504056,59.468665432578106,,,,
-1,1.0,51.48301470469393,51.48301470469392,52.507460161504056,59.46866543257809,,,,
0,1.0,53.64466013357183,53.64466013357185,53.0767210452462,53.07672104524615,,,,
1,1.0,,51.48301470469392,52.507460161504056,52.507460161504056,,65.44426235480186,,
2,1.0,,51.48301470469392,,52.507460161504056,64.40592208797264,65.44426235480188,,
3,1.0,,,,52.507460161504056,64.40592208797263,65.44426235480186,,65.44426235480186
4,1.0,,,,,64.40592208797264,65.44426235480188,64.40592208797264,65.44426235480188
5,1.0,,,,,,65.44426235480188,64.40592208797264,65.44426235480188
6,1.0,,,,,,65.44426235480188,,65.44426235480188
