u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,66.57252797055986,59.710607805831614,66.57252797055986,59.71060780583162
-7.0,66.12265844637201,60.118576223437174,66.122658446372,60.118576223437174
-6.0,65.67559482933845,60.529311478488935,65.67559482933842,60.529311478488935
-5.0,65.2313373733765,60.94281933584381,65.2313373733765,60.94281933584381
-4.0,64.7898858574682,61.35910511782478,64.78988585746822,61.35910511782479
-3.0,64.35123958619579,61.77817369945024,64.3512395861958,61.77817369945025
-2.0,63.91539739068173,62.200029504015795,63.91539739068174,62.200029504015795
-1.0,63.48235762993295,62.62467649904145,63.482357629932935,62.62467649904144
0.0,63.05211814468153,63.052118240486834,63.05211822244917,63.05211816271918
1.0,62.624676499041456,63.48235762993293,62.624676499041456,63.482357629932935
2.0,62.2000295040158,63.91539739068174,62.200029504015795,63.91539739068174
3.0,61.77817369945024,64.35123958619579,61.77817369945025,64.3512395861958
4.0,61.35910511782478,64.78988585746822,61.35910511782479,64.7898858574682
5.0,60.9428193358438,65.2313373733765,60.94281933584381,65.23133737337649
6.0,60.529311478488935,65.67559482933844,60.529311478488935,65.67559482933844
7.0,60.118576223437174,66.12265844637201,60.11857622343718,66.12265844637201
8.0,59.710607805831614,66.57252797055985,59.71060780583163,66.57252797055986
9.0,59.30540002339815,67.02520267292039,59.30540002339815,67.0252026729204
10.0,58.9029462418964,67.4806813496834,58.9029462418964,67.48068134968344
11.0,58.50323940089651,67.93896232297122,58.503239400896504,67.93896232297121
12.0,58.94056605482492,71.39337604691266,58.940566054824984,71.39337604691264
13.0,58.4645141479604,71.95369055488796,58.46451414796041,71.95369055488798
14.0,57.99194369008301,72.51716172717632,57.99194369008305,72.51716172717627
15.0,57.522854848133896,73.08376606643935,57.522854848133846,73.08376606643941
16.0,57.05724685818416,73.65347942862685,57.05724685818414,73.6534794286268
17.0,56.59511803226225,74.22627704697658,56.59511803226219,74.22627704697658
18.0,56.1364657663045,74.80213355654226,56.13646576630454,74.80213355654223
19.0,55.6812865492036,75.38102301918279,55.68128654920354,75.38102301918278
