-35.0,-261.979076035226
-34.5,-260.83543240182615
-34.0,-259.69437966804423
-33.5,-258.55592858176936
-33.0,-257.4200898114678
-32.5,-256.2868739445864
-32.0,-255.1562914859744
-31.5,-254.0283528563298
-31.0,-252.90306839067938
-30.5,-251.7804483368967
-30.0,-250.66050285426726
-29.5,-249.5432420121107
-29.0,-248.42867578847384
-28.5,-247.31681406890382
-28.0,-246.20766664532175
-27.5,-245.10124321501115
-27.0,-243.9975533797453
-26.5,-242.89660664507545
-26.0,-241.79841241980478
-25.5,-240.7029800156707
-25.0,-239.61031864725913
-24.5,-238.52043743215017
-24.0,-237.4333453912753
-23.5,-236.34905144939566
-23.0,-235.2675644354838
-22.5,-234.18889308253966
-22.0,-233.11304602583928
-21.5,-232.0400317975603
-21.0,-230.9698588133785
-20.5,-229.90253534141675
-20.0,-228.8380694312118
-19.5,-227.77646874697672
-19.0,-226.71774015115818
-18.5,-225.66188855165896
-18.0,-224.61031024067205
-17.5,-223.5602612845601
-17.0,-222.51312278215784
-16.5,-221.4689047638648
-16.0,-220.4276181786629
-15.5,-216.05099542312956
-15.0,-215.4848678209037
-14.5,-214.92033752162592
-14.0,-214.35876107688384
-13.5,-209.3273580701413
-13.0,-209.23763276242423
-12.5,-209.15229502053762
-12.0,-209.07035602007508
-11.5,-208.9915595259185
-11.0,-208.91582158714638
-10.5,-208.84311080666384
-10.0,-208.7734149088992
-9.5,-208.70672950501861
-9.0,-208.64305376298506
-8.5,-208.58238855204482
-8.0,-208.5247355771947
-7.5,-208.47009694635454
-7.0,-208.41847494095714
-6.5,-208.36987188820277
-6.0,-208.32429008685315
-5.5,-208.2817317625418
-5.0,-208.24219904004096
-4.5,-208.2056939256479
-4.0,-208.17221829585105
-3.5,-208.14177389006588
-3.0,-208.11436230614876
-2.5,-208.0899849979684
-2.0,-208.06864327465257
-1.5,-208.05033830140113
-1.0,-208.035071101982
-0.5,-208.02284256326243
0.0,-208.01365344245536
0.5,-208.00750437822379
1.0,-208.00439590752345
1.5,-208.00432849129547
2.0,-208.00730255424637
2.5,-208.01331854774918
3.0,-208.02237705193477
3.5,-208.03447894659067
4.0,-208.0496257077283
4.5,-208.06781994427382
5.0,-208.08906641822236
5.5,-208.11337410029117
6.0,-208.1407606140535
6.5,-208.17126271325725
7.0,-208.20496383990812
7.5,-208.24207773167703
8.0,-210.1194931748741
8.5,-210.62995783261528
9.0,-211.1434519118856
9.5,-211.65997114850293
10.0,-212.17951142250962
10.5,-212.70206866930553
11.0,-214.86514659791243
11.5,-215.86180234682263
12.0,-216.86146742349712
12.5,-217.86412891756373
13.0,-218.86978129112273
13.5,-219.87841997468269
14.0,-220.89004023526243
14.5,-221.9046370162359
15.0,-222.92220496158316
15.5,-223.94273846304446
16.0,-224.96623169876202
16.5,-225.99267866043397
17.0,-227.02207317148677
17.5,-228.05440889907942
18.0,-229.0896793620547
18.5,-230.12787793629735
19.0,-231.16899785844282
19.5,-232.2130322285589
20.0,-233.25997401218424
20.5,-234.30981604199076
21.0,-235.36255101921543
21.5,-236.41817151497807
22.0,-237.47666997153905
22.5,-238.53803870354255
23.0,-239.6022698992708
23.5,-240.66935562192103
24.0,-241.73928781091115
24.5,-242.81205828322624
25.0,-243.88765873479545
25.5,-244.96608074190846
26.0,-246.04731576266607
26.5,-247.13135513845899
27.0,-248.21819009548346
27.5,-249.30781174627796
28.0,-250.4002110912894
28.5,-251.4953790204595
29.0,-252.59330631483417
29.5,-253.69398364818886
30.0,-254.797401588672
30.5,-255.90355060046326
31.0,-257.01242104544286
31.5,-258.1240031848736
32.0,-259.23828718109024
32.5,-260.3552630992009
33.0,-261.47492090878904
33.5,-262.5972504856261
34.0,-263.7222416133838
34.5,-264.84988398535245
35.0,-265.98016720615595
35.5,-267.11308079347145
36.0,-268.2486141797455
36.5,-269.3867567139081
37.0,-270.5274976630844
37.5,-271.67082621429995
38.0,-272.8167314761845
38.5,-273.965283001515
39.0,-275.11630596209716
39.5,-276.26987267644165
40.0,-277.4259622389936
40.5,-278.5845924892018
41.0,-279.74571568951956
41.5,-280.9093520074005
42.0,-282.0754628758123
42.5,-283.24405542906334
43.0,-284.41511186201683
43.5,-285.58862052884604
44.0,-286.76456972513853
44.5,-287.94294768943007
45.0,-289.12374260471574
45.5,-290.3069425999489
46.0,-291.49253575151664
46.5,-292.6805100847017
47.0,-293.8708535751194
47.5,-295.06355415013667
48.0,-296.2585996902686
48.5,-297.4559780305519
49.0,-298.6556769618945
49.5,-299.857684232404
50.0,-301.06198754868575
50.5,-302.2685745771227
51.0,-303.47743294512077
51.5,-304.68855024233517
52.0,-305.9019140218601
52.5,-307.11751180140004
53.0,-308.3353310644031
53.5,-309.555359261169
54.0,-310.7775838099269
54.5,-312.0019920978789
