u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-35.0,79.64518674353326,78.6113026017315,79.64518674353337,78.61130260173151,,,,
-34.5,79.33800445450618,78.29362781789648,79.33800445450609,78.29362781789644,,,,
-34.0,79.03148193420536,77.9765225826194,79.03148193420542,77.97652258261937,,,,
-33.5,78.72562309052286,77.65999060286096,78.72562309052287,77.65999060286096,,,,
-33.0,78.42043182344251,77.34403559091477,78.42043182344257,77.34403559091483,,,,
-32.5,78.11591202530573,77.02866126389576,78.11591202530565,77.02866126389574,,,,
-32.0,77.81206758146952,76.71387134322107,77.81206758146944,76.71387134322109,,,,
-31.5,77.508902371545,76.3996695540886,77.50890237154493,76.39966955408853,,,,
-31.0,77.20642027150319,76.08605962494977,77.20642027150313,76.08605962494973,,,,
-30.5,76.90462515710743,75.77304528698079,76.9046251571074,75.77304528698079,,,,
-30.0,76.60352090943229,75.46063027355478,76.60352090943226,75.46063027355478,,,,
-29.5,76.30311142375037,75.1488183197163,76.30311142375035,75.14881831971627,,,,
-29.0,76.0034006240702,74.83761316166226,76.00340062407022,74.83761316166228,,,,
-28.5,75.70439248752214,74.52701853623464,75.70439248752216,74.52701853623464,,,,
-28.0,75.40609108678845,74.21703818042855,75.40609108678858,74.21703818042855,,,,
-27.5,75.1085006675793,73.90767583092402,75.1085006675793,73.90767583092399,,,,
-27.0,74.81162579925744,73.59893522365026,74.8116257992575,73.59893522365026,,,,
-26.5,74.51547169270782,73.29082009339263,74.51547169270788,73.29082009339261,,,,
-26.0,74.2200449487594,72.98333417345472,74.22004494875944,72.98333417345478,,,,
-25.5,73.9253556107389,72.67648119539373,73.92535561073892,72.67648119539376,,,,
-25.0,73.63142423944433,72.37026488884277,73.63142423944423,72.37026488884266,,,,
-24.5,73.33831801849378,72.06468898144001,73.3383180184937,72.06468898143999,,,,
-24.0,73.04662505845569,71.75975719887626,73.04662505845559,71.75975719887623,,,,
-23.5,72.75262030006051,71.45547326505422,72.75262030006046,71.45547326505417,,,,
-23.0,72.4621650583288,71.1518409023136,72.46216505832876,71.15184090231358,,,,
-22.5,72.17199362737495,70.84886383156973,72.17199362737497,70.84886383156973,,,,
-22.0,71.88249150835698,70.54654577197564,71.88249150835703,70.5465457719756,,,,
-21.5,71.59371328284132,70.24489043916176,71.59371328284136,70.24489043916174,,,,
-21.0,71.30567688325806,69.94390153975606,71.30567688325813,69.9439015397561,,,,
-20.5,71.01839136261779,69.6435827564518,71.01839136261775,69.64358275645182,,,,
-20.0,70.73186276773342,69.34393770844207,70.73186276773336,69.34393770844207,,,,
-19.5,70.44609595454497,69.04496984309088,70.44609595454496,69.04496984309088,,,,
-19.0,70.1610953265689,68.74668211184034,70.16109532656887,68.74668211184026,,,,
-18.5,69.87686510498112,68.44907582940864,69.8768651049811,68.44907582940851,,,,
-18.0,69.59327999274448,68.14012175724534,69.57915102664649,68.15216084981392,,,,
-17.5,69.31056884142319,67.8438926498206,69.29647365882536,67.85593577574848,,,,
-17.0,69.028629545249,67.5483680731754,69.01457845795824,67.56040576896265,,,,
-16.5,68.74746315318117,67.25355560666671,68.73346846251505,67.26557440196446,,,,
-16.0,68.46706997963716,66.95946502954504,68.45314666635583,66.97144524875353,,,,
-15.5,68.18805056087544,62.64727970086,,66.67802103917641,44.95532207285359,,,
-15.0,67.89488593813006,62.36222826535139,,66.37309796679952,45.187688184496515,,,
-14.5,67.61694721700951,62.07783021563556,,66.0810763967692,45.42092419599762,,,
-14.0,67.33980885052766,61.79417553152713,,65.78977209097246,45.655025425547336,,,
-13.5,,61.51163538740136,,61.51163538740129,45.88992381286384,45.88992381286381,,
-13.0,,61.22927157185343,,61.22927157185347,46.125801434581426,46.12580143458145,,
-12.5,,60.94778542781918,,60.9477854278192,46.362516295263596,46.36251629526355,,
-12.0,,60.667098774460705,,60.66709877446078,46.60008399073438,46.600083990734454,,
-11.5,,60.38718918642789,,60.3871891864279,46.838510262270745,46.83851026227076,,
-11.0,,60.108050027979374,,60.10805002797938,47.07779704945843,47.077797049458376,,
-10.5,,59.82968011013611,,59.82968011013608,47.31794476354911,47.31794476354908,,
-10.0,,59.552080390905274,,59.552080390905225,47.5589531433822,47.5589531433822,,
-9.5,,59.27525275653411,,59.27525275653409,47.80082159765232,47.800821597652366,,
-9.0,,58.99919951897177,,58.99919951897174,48.04354935080537,48.04354935080531,,
-8.5,,58.72392318981133,,58.72392318981131,48.28713550893393,48.28713550893396,,
-8.0,,58.44942637105874,,58.449426371058756,48.53157909110871,48.53157909110875,,
-7.5,,58.175711699018926,,58.17571169901894,48.77687904498105,48.776879044981044,,
-7.0,,57.9027818138546,,57.90278181385459,49.023034254909014,49.02303425490896,,
-6.5,,57.630639342222246,,57.63063934222221,49.27004354637861,49.27004354637859,,
-6.0,,57.35928688692558,,57.359286886925574,49.51790568847525,49.517905688475295,,
-5.5,,57.08872702063556,,57.088727020635545,49.76661939515078,49.76661939515078,,
-5.0,,56.81896228252162,,56.81896228252164,50.01618332524731,50.01618332524728,,
-4.5,,56.54999517862035,,56.54999517862035,50.26659607979234,50.26659607979231,,
-4.0,,56.28182819318868,,56.2818281931887,50.51785618892305,50.517856188923076,,
-3.5,,56.014463864925894,,56.01446386492593,50.76996203432322,50.76996203432326,,
-3.0,,55.7479062312677,,55.74790623126776,51.02291040381014,51.022910403810144,,
-2.5,,55.482148961807226,,55.48214896180723,51.27670835690903,51.27670835690901,,
-2.0,,55.21720656414956,,55.217206564149436,51.53134201801856,51.53134201801856,,
-1.5,,54.95307499013821,,54.95307499013818,51.78681596913918,51.7868159691392,,
-1.0,,54.68975694396862,,54.689756943968646,52.04312794055545,52.043127940555465,,
-0.5,,54.427254540048395,,54.42725454004838,52.30027615147536,52.300276151475416,,
0.0,,54.16556973984816,,54.165569739847996,52.558258871198106,52.55825887119793,,
0.5,,53.904704376188405,,53.90470437618845,52.817074392080954,52.81707439208093,,
1.0,,53.644660133571854,,53.6446601335718,53.076721045246174,53.076721045246195,,
