u,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup
-20.0,70.37744979678706,70.37744979678706,,
-19.75,70.22717095942389,70.22717095942389,,
-19.5,70.07706131059427,70.07706131059426,,
-19.25,69.9271213031259,69.9271213031259,,
-19.0,69.77735138897806,69.77735138897806,,
-18.75,69.62775201921787,69.62775201921787,,
-18.5,69.4783236439967,69.4783236439967,,
-18.25,69.32906671252628,69.32906671252627,,
-18.0,69.17998167305527,69.17998167305527,,
-17.75,69.03106897284496,69.03106897284496,,
-17.5,68.88232905814583,68.88232905814583,,
-17.25,68.73376237417344,68.73376237417344,,
-17.0,68.58536936508412,68.5853693650841,,
-16.75,68.43715047395133,68.43715047395133,,
-16.5,68.28910614274166,68.28910614274166,,
-16.25,68.14123681229006,68.14123681229005,,
-16.0,67.99354292227616,67.99354292227616,,
-15.75,67.84602491119992,67.8460249111999,,
-15.5,67.69868321635767,67.69868321635767,,
-15.25,67.55151827381695,67.55151827381695,,
-15.0,67.40453051839323,67.40453051839322,,
-14.75,67.25772038362513,67.25772038362513,,
-14.5,67.11108830174973,67.11108830174973,,
-14.25,66.96463470367851,66.96463470367851,,
-14.0,66.81836001897312,66.81836001897312,,
-13.75,66.67226467582047,66.67226467582047,,
-13.5,66.52634910100886,66.52634910100886,,
-13.25,66.38061371990293,66.38061371990293,,
-13.0,66.23505895641948,66.23505895641946,,
-12.75,66.08968523300335,66.08968523300335,,
-12.5,65.94449297060221,65.9444929706022,,
-12.25,65.79948258864295,65.79948258864295,,
-12.0,65.65465450500649,65.65465450500649,,
-11.75,65.51000913600392,65.51000913600392,,
-11.5,65.36554689635149,65.36554689635149,,
-11.25,65.22126819914679,65.22126819914679,,
-11.0,65.0771734558438,65.07717345584379,,
-10.75,64.93326307622907,64.93326307622907,,
-10.5,64.78953746839703,64.78953746839703,,
-10.25,64.64599703872557,64.64599703872557,,
-10.0,64.5026421918519,64.50264219185189,,
-9.75,64.35947333064867,64.35947333064867,,
-9.5,64.21649085619885,64.21649085619885,,
-9.25,64.07369516777226,64.07369516777226,,
-9.0,63.93108666280151,63.93108666280151,,
-8.75,63.788665736857325,63.788665736857325,,
-8.5,63.64643278362509,63.64643278362509,,
-8.25,63.504388194880384,63.504388194880384,,
-8.0,63.362532360465366,63.362532360465366,,
-7.75,63.220865668264906,63.2208656682649,,
-7.5,63.07938850418269,63.07938850418269,,
-7.25,62.93810125211734,62.93810125211734,,
-7.0,62.79700429393915,62.79700429393915,,
-6.75,62.656098009466064,62.65609800946606,,
-6.5,62.51538277644071,62.5153827764407,,
-6.25,62.374858970506025,62.37485897050601,,
-6.0,62.23452696518303,62.23452696518303,,
-5.75,62.09438713184686,62.09438713184686,,
-5.5,61.95443983970376,61.95443983970376,,
-5.25,61.81468545576803,61.81468545576802,,
-5.0,61.67512434483909,61.67512434483909,,
-4.75,61.535756869478575,61.535756869478575,,
-4.5,61.396583389987626,61.396583389987626,,
-4.25,61.257604264383865,61.257604264383865,,
-4.0,61.11881984837955,61.118819848379545,,
-3.75,60.980230495358285,60.98023049535828,,
-3.5,60.8418365563533,60.8418365563533,,
-3.25,60.70363838002528,60.70363838002528,,
-3.0,60.56563631263977,60.56563631263976,,
-2.75,60.427830698045796,60.42783069804579,,
-2.5,60.29022187765352,60.290221877653515,,
-2.25,60.15281019041306,60.15281019041306,,
-2.0,60.01559597279247,60.01559597279246,,
