u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
0.0,52.36938728,61.7426837,50.89690351,63.2480837
1.0,56.06815669,49.58093366,55.41685816,60.24491938
2.0,52.03853831,56.95605193,54.75576047,53.86596435
3.0,51.69552838,46.91379695,59.34762002,47.41966891
4.0,54.85032756,51.43079636,60.24270243,53.28938049
