u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup
-10.0,47.038113266018726,57.27779615060341,47.038113266018726,64.50258415072486
-9.0,47.51850715289972,56.735042480270806,47.518507152899716,63.93102879338537
-8.0,48.00229255428857,56.19542238277994,48.00229255428857,63.36247470468915
-7.0,48.48946196834146,55.65895633210985,48.48946196834145,62.796946893646464
-6.0,48.98000702844171,55.125664176830554,48.98000702844171,62.23446986202312
-5.0,49.473918510795905,54.59556511913131,49.473918510795905,61.67506758015695
-4.0,49.971186343153946,54.06867769443863,49.971186343153946,61.118763463106
-3.0,50.471799614631514,53.545019751673486,50.471799614631514,60.56558034718229
-2.0,50.97574658661094,53.02460843419898,50.97574658661093,60.01554046692675
-1.0,51.48301470469399,52.50746016150412,51.48301470469399,59.46866543257816
-0.0,51.99359061167521,51.99359061167515,51.99359061167521,58.924976208093184
1.0,52.507460161504156,51.48301470469393,59.46866543257819,51.48301470469393
2.0,53.02460843419897,50.97574658661092,60.01554046692675,50.97574658661091
3.0,53.54501975167355,50.4717996146315,60.565580347182326,50.47179961463149
4.0,54.0686776944386,49.97118634315399,61.11876346310597,49.97118634315398
5.0,54.59556511913127,49.4739185107959,61.675067580156906,49.4739185107959
6.0,55.12566417683061,48.98000702844172,62.23446986202316,48.98000702844172
7.0,55.65895633210985,48.48946196834153,62.796946893646464,48.48946196834153
8.0,56.19542238277996,48.00229255428862,63.36247470468916,48.00229255428862
9.0,56.73504248027076,47.51850715289975,63.931028793385316,47.51850715289975
10.0,57.27779615060344,47.03811326601874,64.5025841507249,47.03811326601874
11.0,57.82366231589768,46.56111752426207,65.07711528491217,46.56111752426207
