u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown
0.0,61.20378052,60.13263516,60.76931872,52.75002933,
1.0,65.25795151,,57.68005902,56.98830502,65.90481258
2.0,64.77229411,,58.19822023,56.48082327,66.39992021
3.0,64.29006292,,58.71964745,55.97667322,66.89841807
4.0,63.8112632,,59.24432384,55.4758678,67.40029644
