u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,74.50463418999365,62.922007914370475,59.088563060587205,71.21423396142153,,
-7.0,74.01224233455642,63.35498359325295,59.56039304078278,70.68543348856949,,
-6.0,73.5232586407356,63.79137154015795,60.035647003800264,70.15984852221834,,
-5.0,73.03769150665931,64.23117705250337,60.51431844839081,69.6374972201523,,
-4.0,72.55554840219628,64.6744045478205,60.99640001235717,69.11839704801692,,
-3.0,72.07683590108702,65.12105751336836,61.48188343697751,68.60256479344207,,
-2.0,71.60155971162267,65.57113846105554,61.97075954032654,68.09001658226836,,
-1.0,71.12972472596354,66.02464886651236,62.46301817891573,67.58076791524988,,
0.0,70.29588407488926,66.05551565591865,62.98873507268316,67.16554304261858,,
1.0,70.25149164793268,66.93635553470428,63.40254002621332,66.57783121419011,,
2.0,69.71715683777454,67.35121654832614,63.97772085050813,66.12750392857319,,
3.0,69.25917827297418,67.81842029581404,64.48333120108217,65.63161392698572,,
4.0,68.80466460990345,68.28903354494483,64.99224949722674,65.13910307806407,,
5.0,68.35363512857495,68.76303211348528,65.50444371046368,64.6500029562276,,
6.0,67.90614910480062,69.24035002353111,66.01984656104294,64.16438707731116,,
7.0,67.50181062178987,69.76335228102306,66.49887305415923,63.639905423821645,,
8.0,67.47305814053352,67.73009636631228,64.9366250070201,63.57287820845237,,
9.0,67.03575598879483,68.23810923504756,65.47806240829263,63.09729183587966,,
10.0,66.56242839030293,68.70685862236279,66.06209688401437,62.66771174926689,,
11.0,68.77518529360009,68.80864104924406,66.19694584286498,65.03913075923018,,
12.0,,64.47275356334411,62.971293969254404,,62.97129396925435,64.47275356334421
13.0,,65.01236913684119,63.54375181294253,,63.543751812942524,65.01236913684124
14.0,,65.55520416804279,64.11914716482181,,64.11914716482178,65.55520416804282
15.0,,66.1012581346233,64.69746740226216,,64.69746740226209,66.10125813462332
16.0,,66.65051603273676,65.27868960369273,,65.2786896036927,66.65051603273673
17.0,,67.20295857978029,65.86278791963704,,65.86278791963697,67.20295857978037
18.0,,67.75856461099623,66.4497352975747,,66.44973529757469,67.75856461099625
19.0,,68.31731182395033,67.03950402075392,,67.03950402075391,68.31731182395033
20.0,,68.87917706498085,67.63206591998954,,67.63206591998957,68.87917706498087
21.0,,69.44413646292202,68.2273924766011,,68.22739247660111,69.44413646292206
22.0,,70.01216550447685,68.82545488352989,,68.82545488352994,70.01216550447683
23.0,,70.5832390848292,69.4262240883866,,69.42622408838675,70.58323908482922
24.0,,71.15733154682485,70.02967082782756,,70.02967082782757,71.15733154682489
25.0,,71.73441671449714,70.63576565733597,,70.63576565733597,71.73441671449717
26.0,,72.3144679236228,71.24447897831138,,71.24447897831138,72.31446792362277
27.0,,72.89745805062662,71.85578106340688,,71.8557810634069,72.89745805062662
28.0,,73.48335954050835,72.469642080607,,72.46964208060713,73.48335954050842
29.0,,74.0721444341459,73.08603211631262,,73.08603211631272,74.07214443414594
30.0,,74.66378439515788,73.70492119758052,,73.70492119758055,74.66378439515788
31.0,,75.2582507364184,74.32627931359998,,74.32627931360004,75.25825073641838
32.0,,75.85551444626552,74.95007643645341,,74.95007643645356,75.85551444626546
33.0,,76.45554621441354,75.576282541188,,75.57628254118801,76.4555462144135
34.0,,77.05831645755947,76.2048676252107,,76.20486762521064,77.05831645755941
35.0,,77.66379534467058,76.8358017270127,,76.8358017270127,77.66379534467049
36.0,,78.27195282192528,77.4690549442276,,77.46905494422755,78.27195282192525
37.0,,78.88275863728416,78.10459745102203,,78.1045974510221,78.88275863728413
38.0,,79.49618236465876,78.74239951482033,,78.74239951482025,79.49618236465875
39.0,,80.1121614167892,79.38181524380539,,79.38181524380545,80.1121614167892
