nu,u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-6,1.0,5.88922289,9.35422185,-48.50136625,56.28185816,8.18035484,12.56691219,-37.37404171,60.7715907,7.39462289,10.85962185,-46.99596625,57.78725816,9.68575484,14.07231219,-35.86864171,62.2769907,-42.18500398
-5,1.0,5.70262788,9.56161016,-47.0613222,55.8515921,6.28547773,9.78849013,-45.88607475,57.79599629,7.20802788,11.06701016,-45.5559222,57.3569921,10.23184065,14.1416802,-35.4665941,62.64953057,-40.51125815
-4,1.0,5.19001741,8.1816234,-47.1742725,56.11566997,4.4216823,9.03334262,-46.03363402,57.57099519,6.69541741,9.6870234,-45.6688725,57.62106997,5.9270823,10.53874262,-44.52823402,59.07639519,-20.05327586
-3,1.0,5.42828907,9.12854207,-48.97410154,55.70888977,-8.70556274,2.18952076,-48.3018586,54.79080424,6.93368907,10.63394207,-47.46870154,57.21428977,7.31328737,11.00061357,-44.37363532,58.96126932,-3.25802099
-2,1.0,-12.30985513,4.7293376,-49.88068632,54.75700825,-15.07152756,1.21676496,-47.36474323,55.5788784,6.80810947,11.73066844,-46.80981737,58.07699803,4.04658497,8.21825055,-44.26193092,58.86457078,-5.54654509
-1,1.0,9.66066474,9.89888243,-45.7414345,58.02395097,-4.25712642,-4.26582454,-51.6972507,49.31101361,22.46737329,15.02893718,-43.00400123,60.94542837,-2.52604015,10.30717885,-50.25252048,50.82957203,3.5673123
0,1.0,-23.50748514,-18.01850847,-55.4097034,49.61343117,-22.34333467,-13.83736687,-52.61039498,50.40334425,5.05972998,6.73223402,-48.31265572,57.26249454,6.22403025,10.91355039,-45.41261552,57.94637483,-4.38881844
1,1.0,-24.36586402,-1.32679298,-50.24969302,52.92360442,-18.26998073,-12.42903237,-54.12900873,47.79590113,-20.79760709,3.27289241,-47.92603205,55.34120381,-5.33287538,2.06954772,-48.98684942,53.08274297,-3.32983418
2,1.0,-22.41264918,-16.10296536,-55.35219121,48.03229732,-22.5130893,-13.88844628,-52.18536566,51.58406138,-14.26611025,-0.13884705,-51.00835968,52.57169443,-14.257432,1.94860935,-47.79009437,56.07354879,-7.01364667
3,1.0,-18.05042964,-10.03922126,-56.40723673,48.16232632,-17.87275363,-10.35592165,-51.30005232,52.50424069,-9.23902407,2.39651832,-52.03012918,52.73406511,-16.36735363,-8.85052165,-49.79465232,54.00964069,-3.22700167
4,1.0,-16.96472551,-9.93319472,-52.67014303,49.01370348,-23.82544177,-15.72657266,-55.83986746,47.27201296,-15.45932551,-8.42779472,-51.16474303,50.51910348,-22.32004177,-14.22117266,-54.33446746,48.77741296,19.42210912
5,1.0,-19.65031891,-14.0684182,-58.9647855,42.29630144,-17.26823523,-9.63409735,-50.74585823,52.15674224,-15.51232166,-9.49165474,-54.10500114,52.52168102,-15.76283523,-8.12869735,-49.24045823,53.66214224,47.22652184
6,1.0,-19.91401188,-12.44017793,-57.46928909,38.93999269,-19.20113539,-12.28952501,-56.62941355,50.29246209,-18.40861188,-10.93477793,-55.96388909,40.44539269,-17.69573539,-10.78412501,-55.12401355,51.79786209,45.36892739
