u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown
-20.0,70.14232023331738,66.70920291111756,48.74600691983757,70.37744979678706,,
-19.75,70.00082230761029,66.56228037169103,48.864866337589376,70.22717095942389,,
-19.5,69.85951431193126,66.41553111466956,48.983941094050245,70.07706131059426,,
-19.25,69.71839662862959,66.26895556784918,49.103231131871816,69.9271213031259,,
-19.0,69.57746963790525,66.12255415797931,49.222736390178774,69.77735138897805,,
-18.75,69.43673371778549,65.97632731073969,49.34245680456853,69.62775201921787,,
-18.5,69.29618924410156,65.83027545071705,49.462392307111784,69.47832364399669,,
-18.25,69.15583659046398,65.6843990013823,49.582542826353354,69.32906671252627,,
-18.0,69.0156761282407,65.53869838506725,49.702908287312894,69.17998167305527,,
-17.75,68.87570822653204,65.39317402294112,49.82348861148663,69.03106897284495,,
-17.5,68.73593325214932,65.24782633498785,49.944283716848304,68.88232905814583,,
-17.25,68.59635156958981,65.10265573998251,50.0652935178517,68.73376237417344,,
-17.0,68.45696354101509,64.95766265546767,50.18651792543241,68.58536936508412,,
-16.75,68.31776952622704,64.8128474977305,50.30795684701074,68.43715047395132,,
-16.5,68.17876988264618,64.66821068177953,50.429610186493825,68.28910614274166,,
-16.25,68.03996496528794,64.52375262132045,50.551477844279,68.14123681229005,,
-16.0,67.90135512674047,64.37947372873339,50.673559717257554,67.99354292227616,,
-15.75,67.76294071714238,64.23537441504904,50.79585569881776,67.8460249111999,,
-15.5,67.62472208416003,64.09145508992583,50.918365678849106,67.69868321635765,,
-15.25,67.48669957296543,63.947716161625266,51.04108954374639,67.55151827381695,,
-15.0,67.34887352621409,63.80415803698955,51.16402717641467,67.40453051839323,,
-14.75,67.21124428402348,63.66078112141772,51.287178456273125,67.25772038362513,,
-14.5,67.07381218395074,63.51758581884163,51.41054325926127,67.11108830174973,,
-14.25,,59.61894818558196,51.53412145784374,66.96463470367851,45.03438819934152,
-14.0,,59.47970695524197,51.65791292101598,66.81836001897315,45.15054722747779,
-13.75,,59.340654638866866,51.781917514310486,66.67226467582047,45.266919753198806,
-13.5,,59.201791603018926,51.90613509980261,66.52634910100885,45.38350573318248,
-13.25,,59.063118212322465,52.03056553611774,66.38061371990293,45.50030512064513,
