u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,72.9067115849141,65.35453472679094,72.9067115849141,65.35453472679096
-7.0,72.41579243382978,65.79843300217631,72.41579243382978,65.79843300217631
-6.0,71.92792948960546,66.24542645991573,71.92792948960548,66.24542645991573
-5.0,71.44313037214758,66.6955163027996,71.44313037214756,66.69551630279962
-4.0,70.96140204789583,67.14870306493631,70.96140204789583,67.14870306493631
-3.0,70.48275082405543,67.60498660924921,70.48275082405543,67.60498660924921
-2.0,70.0071823435535,68.06436612570529,70.00718234355347,68.0643661257053
-1.0,69.5347015807323,68.52684013028635,69.53470158073233,68.52684013028635
0.0,68.83863338349926,68.72430126304326,68.83863338349929,68.72430126304326
1.0,68.37279562459895,69.19249908210475,68.37279562459894,69.19249908210476
2.0,67.85857525934935,69.64123440924558,67.85857525934935,69.64123440924558
3.0,67.40090712507053,70.11366497135836,67.4009071250705,70.11366497135836
4.0,66.94631539120238,70.58915035641179,66.94631539120236,70.58915035641179
5.0,66.49480066328498,71.0676854793328,66.49480066328498,71.06768547933277
6.0,66.0463628874793,71.54926461004787,66.0463628874793,71.54926461004789
7.0,65.30074322936935,72.2789234223345,65.30074322936935,72.27892342233449
8.0,64.85955707920742,72.76882723467583,64.8595570792074,72.76882723467583
9.0,64.42144543950904,73.26177254151986,64.42144543950904,73.26177254151987
10.0,64.28335727226116,73.50588430757126,64.28335727226118,73.50588430757125
11.0,63.5544334260313,74.25675218380539,63.55443342603131,74.2567521838054
12.0,58.94056605482492,71.39337604691266,58.940566054824984,71.39337604691264
13.0,58.4645141479604,71.95369055488796,58.46451414796041,71.95369055488798
14.0,57.99194369008301,72.51716172717632,57.99194369008305,72.51716172717627
15.0,57.522854848133896,73.08376606643935,57.522854848133846,73.08376606643941
16.0,57.05724685818416,73.65347942862685,57.05724685818414,73.6534794286268
17.0,56.59511803226225,74.22627704697658,56.59511803226219,74.22627704697658
18.0,56.1364657663045,74.80213355654226,56.13646576630454,74.80213355654223
19.0,55.6812865492036,75.38102301918279,55.68128654920354,75.38102301918278
