u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup
-10.0,70.28230763977541,59.90310886054141,47.038113266018726,57.277796150603415
-9.0,69.7315972941313,60.38959472601032,47.51850715289971,56.73504248027081
-8.0,69.18413067637545,60.879551968322595,48.00229255428857,56.19542238277994
-7.0,68.63992771241037,61.372975704932784,48.48946196834145,55.65895633210985
-6.0,68.09900755146174,61.86986010641867,48.98000702844172,55.12566417683055
-5.0,67.56138854724652,62.370198398123975,49.4739185107959,54.59556511913131
-4.0,67.02708824007595,62.873982863052255,49.97118634315394,54.06867769443862
-3.0,66.49612333994007,63.381204846015386,50.47179961463151,53.545019751673486
-2.0,65.96850971061032,63.89185475903256,50.97574658661094,53.024608434198974
-1.0,65.44426235480178,64.40592208797257,51.48301470469399,52.50746016150412
-0.0,64.92339540042671,64.92339540042684,51.99359061167521,51.993590611675145
1.0,64.40592208797257,65.44426235480184,52.507460161504156,51.48301470469392
2.0,63.891854759032555,65.96850971061025,53.02460843419897,50.97574658661092
3.0,63.38120484601536,66.49612333994008,53.545019751673536,50.47179961463149
4.0,62.87398286305223,67.02708824007601,54.06867769443859,49.97118634315398
5.0,62.37019839812414,67.56138854724651,54.59556511913127,49.473918510795905
6.0,61.86986010641869,68.09900755146177,55.12566417683061,48.980007028441726
7.0,61.37297570493277,68.6399277124103,55.658956332109845,48.48946196834153
8.0,60.87955196832269,69.18413067637539,56.19542238277996,48.002292554288616
9.0,60.38959472601032,69.73159729413132,56.73504248027075,47.518507152899744
10.0,59.90310886054141,70.28230763977541,57.27779615060344,47.03811326601873
11.0,59.420098307193,70.83624103045071,57.82366231589768,46.56111752426207
