u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown
-20.0,70.14232023331738,66.70920291111754,42.421703842541866,70.37744979678706,,
-19.75,70.00082230761029,66.56228037169105,42.532948415343625,70.22717095942389,,
-19.5,69.85951431193125,66.41553111466958,42.64440652988546,70.07706131059426,,
-19.25,69.71839662862959,66.26895556784918,42.75607822193866,69.92712130312589,,
-19.0,69.57746963790527,66.12255415797932,42.86796352388068,69.77735138897806,,
-18.75,69.43673371778549,65.97632731073968,42.98006246468867,69.62775201921787,,
-18.5,69.29618924410156,65.83027545071705,43.09237506993399,69.47832364399669,,
-18.25,69.15583659046398,65.6843990013823,43.204901361776734,69.32906671252627,,
-18.0,69.0156761282407,65.53869838506726,43.317641358960394,69.17998167305527,,
-17.75,68.87570822653204,65.39317402294112,43.430595076807336,69.03106897284496,,
-17.5,68.73593325214932,65.24782633498786,43.54376252721356,68.88232905814583,,
-17.25,68.59635156958981,65.10265573998251,43.657143718645074,68.73376237417344,,
-17.0,68.45696354101507,64.95766265546767,43.770738656133105,68.5853693650841,,
-16.75,68.31776952622707,64.8128474977305,43.88454734127111,68.43715047395133,,
-16.5,68.17876988264618,64.66821068177953,43.99856977221037,68.28910614274167,,
-16.25,68.03996496528794,64.52375262132045,44.11280594365714,68.14123681229005,,
-16.0,67.90135512674046,64.37947372873339,44.227255846870065,67.99354292227616,,
-15.75,67.76294071714238,64.23537441504905,44.34191946965698,67.8460249111999,,
-15.5,67.62472208416001,64.09145508992583,44.45679679637254,67.69868321635765,,
-15.25,67.48669957296543,63.947716161625266,44.57188780791636,67.55151827381695,,
-15.0,67.34887352621409,63.804158036989556,44.687192481731245,67.40453051839322,,
-14.75,67.2112442840235,63.66078112141772,44.802710791800976,67.25772038362511,,
-14.5,67.07381218395074,63.51758581884164,44.9184427086499,67.11108830174973,,
-14.25,66.93657756097122,63.374572531702995,45.034388199341535,66.96463470367851,,
-14.0,66.79954074745702,63.231741660929735,45.15054722747778,66.81836001897315,,
-13.75,,59.340654638866894,45.266919753198806,66.67226467582047,45.266919753198806,
-13.5,,59.201791603018926,45.38350573318248,66.52634910100885,45.38350573318248,
-13.25,,59.06311821232246,45.50030512064512,66.38061371990293,45.50030512064512,
-13.0,,58.92463482944135,45.61731786534149,66.2350589564195,45.6173178653415,
-12.75,,58.78634181505639,45.73454391356574,66.08968523300335,45.734543913565744,
-12.5,,58.64823952784201,45.85198320815209,65.94449297060221,45.8519832081521,
-12.25,,58.51032832444409,45.969635688477034,65.79948258864295,45.96963568847704,
-12.0,,58.37260855945692,46.08750129045979,65.6546545050065,46.0875012904598,
-11.75,,58.235080585400986,46.20557994656494,65.51000913600393,46.205579946564946,
-11.5,,58.09774475269998,46.32387158580434,65.36554689635147,46.32387158580434,
-11.25,,57.96060140965904,46.442376133739685,65.22126819914679,46.44237613373969,
-11.0,,57.823650902441706,46.5610935124854,65.07717345584379,46.5610935124854,
-10.75,,57.68689357504851,46.68002364071104,64.93326307622907,46.680023640711056,
-10.5,,57.550329769294166,46.79916643364541,64.78953746839704,46.79916643364541,
-10.25,,57.413959824785685,46.91852180307991,64.64599703872557,46.91852180307991,
-10.0,,57.27778407890042,47.038089657372204,64.50264219185189,47.038089657372204,
-9.75,,57.14180286676459,47.15786990145047,64.35947333064867,47.15786990145048,
-9.5,,57.0060165212307,47.27786243681814,64.21649085619883,47.27786243681814,
-9.25,,56.8704253728565,47.39806716155822,64.07369516777226,47.398067161558224,
-9.0,,56.735029749883516,47.518483970339005,63.93108666280151,47.51848397033901,
-8.75,,56.59982997821512,47.639112754418605,63.788665736857325,47.63911275441861,
-8.5,,56.46482638139567,47.75995340165095,63.64643278362509,47.75995340165095,
-8.25,,56.33001928058897,47.88100579649202,63.504388194880384,47.88100579649202,
-8.0,,56.19540899455731,48.00226982000514,63.362532360465366,48.00226982000514,
-7.75,,56.06099583964071,48.12374534986822,63.22086566826491,48.12374534986823,
-7.5,,55.92678012973578,48.24543226038027,63.07938850418269,48.24543226038028,
