LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup,u
67.56138854724651,62.370198398124046,67.56138854724652,62.370198398124046,-5.0
67.02708824007601,62.873982863052206,67.02708824007603,62.873982863052206,-4.0
66.49612333994007,63.381204846015414,66.49612333994007,63.381204846015414,-3.0
65.96850971061028,63.89185475903248,65.96850971061028,63.89185475903248,-2.0
65.44426235480188,64.40592208797264,65.44426235480188,64.40592208797264,-1.0
64.92339540042671,64.92339540042671,64.92339540042671,64.92339540042671,0.0
64.40592208797264,65.44426235480188,64.40592208797264,65.44426235480188,1.0
63.89185475903248,65.96850971061028,63.89185475903248,65.96850971061028,2.0
63.381204846015414,66.49612333994007,63.381204846015414,66.49612333994007,3.0
62.873982863052305,67.02708824007595,62.87398286305231,67.02708824007597,4.000000000000001
62.370198398124046,67.56138854724651,62.370198398124046,67.56138854724652,5.0
61.869860106418706,68.09900755146178,61.86986010641871,68.09900755146178,5.999999999999999
61.372975704932735,68.63992771241037,61.37297570493274,68.63992771241037,7.0
60.879551968322595,69.18413067637545,60.8795519683226,69.18413067637545,8.0
60.38959472601032,69.7315972941313,60.38959472601033,69.7315972941313,9.000000000000002
59.90310886054142,70.28230763977541,59.90310886054142,70.28230763977541,9.999999999999998
59.420098307192994,70.83624103045071,59.420098307192994,70.83624103045071,11.0
58.94056605482503,71.39337604691264,58.94056605482503,71.39337604691265,12.0
58.46451414796043,71.953690554888,58.46451414796043,71.953690554888,13.000000000000002
57.991943690082984,72.51716172717619,57.99194369008299,72.5171617271762,13.999999999999998
57.522854848133825,73.08376606643947,57.522854848133825,73.08376606643947,15.0
57.05724685818414,73.65347942862672,57.05724685818414,73.65347942862674,16.0
56.59511803226222,74.22627704697653,56.59511803226222,74.22627704697655,16.999999999999996
56.1364657663045,74.80213355654222,56.136465766304504,74.80213355654222,18.0
55.68128654920358,75.38102301918273,55.681286549203584,75.38102301918275,19.0
55.22957597291784,75.96291894896021,55.22957597291784,75.96291894896021,20.0
54.78132874360813,76.5477943378904,54.78132874360813,76.5477943378904,21.0
54.33653869376525,77.13562168198156,54.33653869376525,77.13562168198158,22.0
53.895198795285665,77.72637300751231,53.89519879528568,77.72637300751232,23.0
53.45730117345622,78.32001989748609,53.45730117345623,78.3200198974861,24.0
53.0228371218036,78.91653351820833,53.0228371218036,78.91653351820833,24.999999999999996
52.59179711776288,79.51588464592908,52.59179711776288,79.51588464592908,26.0
52.16417083911988,80.11804369350058,52.16417083911988,80.1180436935006,27.0
51.739947181180035,80.72298073699113,51.739947181180035,80.72298073699113,28.0
51.31911427461521,81.33066554220888,51.31911427461521,81.33066554220888,29.0
50.90165950393898,81.94106759108189,50.901659503938994,81.9410675910819,30.000000000000004
50.48756952656186,82.55415610784692,50.48756952656188,82.55415610784694,31.000000000000004
50.076830292378496,83.16990008500062,50.0768302923785,83.16990008500062,32.0
49.66942706383238,83.7882683089684,49.66942706383239,83.78826830896841,33.0
49.2653444364127,84.40922938544654,49.265344436412704,84.40922938544655,34.0
48.864566359534486,85.03275176437892,48.864566359534486,85.03275176437893,35.0
48.46707615774804,85.6588037645285,48.467076157748046,85.6588037645285,36.00000000000001
48.07285655223576,86.28735359760816,48.07285655223577,86.28735359760817,37.00000000000001
47.68188968254421,86.91836939193547,47.68188968254421,86.91836939193547,38.00000000000001
47.29415712850748,87.55181921558096,47.29415712850748,87.55181921558098,39.0
46.909639932314604,88.18767109898062,46.90963993231461,88.18767109898062,40.0
46.5283186206784,88.82589305698403,46.52831862067841,88.82589305698403,41.0
46.15017322706115,89.46645311031608,46.15017322706116,89.46645311031608,42.0
45.77518331391691,90.10931930642744,45.77518331391692,90.10931930642745,43.0
45.40332799490764,90.75445973971496,45.40332799490764,90.75445973971497,44.00000000000001
