u,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
0.0,58.89497187,62.64748777
1.0,58.41752844,63.15915129
2.0,57.94316225,63.67418911
3.0,57.4718787,64.19258878
