u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup
-5.0,72.32407053937392,68.03555250184121,45.05145655552789,49.69568569567997
-4.5,72.10299407126708,68.24334783702761,45.276956969074234,49.45678801633611
-4.0,71.88261902346562,68.45183828382221,45.503165683887765,49.218590806536064
-3.5,71.66294529422187,68.66102443758687,45.730082511092725,48.98109474397262
-3.0,71.44397275219322,68.87090686544767,45.957707232542944,48.744300478344314
-2.5,71.22570123648164,69.08148610616574,46.18603960085551,48.5082086312312
-2.0,71.00813055667912,69.29276267001322,46.4150793394504,48.272819795976154
-1.5,70.79126049291824,69.5047370386557,46.64482614259641,48.03813453757104
-1.0,70.57509079593035,69.71740966503886,46.87527967546374,47.80415339255013
-0.5,70.35962118710927,69.93078097328274,47.10643957418244,47.57087686888881
-0.0,70.10445977590551,70.1044599624719,47.34793335378877,47.347933353689555
0.5,69.93078097328274,70.35962118710925,47.5708768688888,47.106439574182446
1.0,69.71740966503886,70.57509079593035,47.804153392550134,46.87527967546374
1.5,69.5047370386557,70.79126049291823,48.03813453757104,46.64482614259641
2.0,69.29276267001322,71.00813055667913,48.272819795976154,46.4150793394504
2.5,69.08148610616574,71.22570123648165,48.5082086312312,46.18603960085551
3.0,68.87090686544767,71.4439727521932,48.744300478344314,45.95770723254294
3.5,68.66102443758685,71.66294529422187,48.98109474397262,45.730082511092725
4.0,68.45183828382221,71.88261902346562,49.21859080653607,45.503165683887765
4.5,68.2433478370276,72.10299407126708,49.45678801633612,45.276956969074234
5.0,68.03555250184121,72.3240705393739,49.69568569567997,45.051456555527885
5.5,67.82845165480123,72.5458484999075,49.93528313901228,44.826664602827165
6.0,67.62204464448637,72.76832799533584,50.17557961304948,44.602581241232215
6.5,67.41633079166249,72.99150903845364,50.41657435692247,44.37920657167112
7.0,67.21130938943459,73.21539161236943,50.658266582323506,44.15654066573102
7.5,67.00697970340347,73.43997567049719,50.900655473658546,43.93458356565763
8.0,66.80334097182903,73.66526113655726,51.14374018820497,43.71333528435876
8.5,66.60039240579775,73.89124790457977,51.38751985627484,43.49279580541676
9.0,66.39813318939557,74.11793583891783,51.63199358138339,43.27296508310527
9.5,66.1965624798862,74.3453247742653,51.87716044042183,43.05384304241322
