u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,67.82526113655726,60.96334097182902,57.853335284358764,65.28374018820497,,
-7.0,67.37539161236941,61.371309389434586,58.29654066573102,64.79826658232352,,
-6.0,66.92832799533586,61.78204464448635,58.742581241232216,64.31557961304947,,
-5.0,66.48407053937392,62.19555250184122,59.191456555527886,63.83568569567998,,
-4.0,66.0426190234656,62.6118382838222,59.64316568388776,63.35859080653607,,
-3.0,65.6039727521932,63.030906865447655,60.09770723254294,62.884300478344315,,
-2.0,65.16813055667915,63.45276267001321,60.5550793394504,62.412819795976155,,
-1.0,64.73509079593033,63.877409665038854,61.01527967546374,61.94415339255012,,
0.0,64.30485162127721,64.30485109588595,61.47830545458245,61.47830543723231,,
1.0,63.877409665038854,64.73509079593033,61.94415339255013,61.01527967546374,,
2.0,63.45276267001321,65.16813055667916,62.41281979597615,60.5550793394504,,
3.0,63.030906865447655,65.6039727521932,62.88430047834431,60.09770723254294,,
4.0,62.61183828382221,66.04261902346562,63.35859080653607,59.643165683887766,,
5.0,62.19555250184123,66.4840705393739,63.83568569567997,59.19145655552789,,
6.0,61.782044644486376,66.92832799533583,64.31557961304947,58.742581241232216,,
7.0,61.3713093894346,67.3753916123694,64.79826658232352,58.29654066573102,,
8.0,60.96334097182901,67.82526113655729,65.28374018820497,57.853335284358764,,
9.0,60.558133189395576,68.27793583891781,65.77199358138341,57.41296508310527,,
10.0,60.15567940789382,68.73341451568085,66.26301948383653,56.97542957907575,,
11.0,59.755972566893924,69.19169548896863,66.75681019445796,56.54072782135929,,
12.0,,64.47275356334411,62.971293969254404,,62.97129396925435,64.47275356334421
13.0,,65.01236913684119,63.54375181294253,,63.543751812942524,65.01236913684124
14.0,,65.55520416804279,64.11914716482181,,64.11914716482178,65.55520416804282
15.0,,66.1012581346233,64.69746740226216,,64.69746740226209,66.10125813462332
16.0,,66.65051603273676,65.27868960369273,,65.2786896036927,66.65051603273673
17.0,,67.20295857978029,65.86278791963704,,65.86278791963697,67.20295857978037
18.0,,67.75856461099623,66.4497352975747,,66.44973529757469,67.75856461099625
19.0,,68.31731182395033,67.03950402075392,,67.03950402075391,68.31731182395033
