u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown
-10.0,70.28230763977542,70.28230763977542,59.903108860541415,
-9.0,69.73159729413132,69.73159729413132,60.38959472601033,
-8.0,69.18413067637545,69.18413067637545,60.8795519683226,
-7.0,68.63992771241037,68.63992771241038,61.372975704932784,
-6.0,68.09900755146174,68.09900755146174,61.86986010641867,
-5.0,67.56138854724654,67.56138854724654,62.37019839812398,
-4.0,67.02708824007595,67.02708824007597,62.873982863052255,
-3.0,66.49612333994007,66.49612333994007,63.38120484601539,
-2.0,65.96850971061032,65.96850971061033,63.89185475903257,
-1.0,65.44426235480178,65.4442623548018,64.40592208797257,
-0.0,64.92339540042673,64.92339540042673,64.92339540042684,
1.0,,64.40592208797257,65.44426235480184,65.44426235480184
2.0,,63.89185475903256,65.96850971061025,65.96850971061023
3.0,,63.381204846015365,66.49612333994008,66.49612333994008
4.0,,62.873982863052234,67.02708824007601,67.02708824007601
5.0,,62.37019839812414,67.56138854724651,67.56138854724651
6.0,,61.8698601064187,68.09900755146178,68.09900755146177
7.0,,61.37297570493277,68.6399277124103,68.6399277124103
8.0,,60.879551968322694,69.18413067637539,69.18413067637539
9.0,,60.38959472601032,69.73159729413132,69.73159729413132
10.0,,59.90310886054141,70.28230763977541,70.28230763977541
11.0,,59.42009830719301,70.83624103045071,70.83624103045071
