nu,u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-6,1.0,57.42184909,57.42184909,,,,,,
-5,1.0,58.29637652,58.29637652,56.67572104,,,,,
-4,1.0,57.84973242,57.84973242,56.64320701,56.64320701,,,,
-3,1.0,57.1857616,57.1857616,51.29234416,57.1874812,,,,
-2,1.0,52.45934616,57.07240652,51.09436695,55.66921701,,,,
-1,1.0,55.28128851,54.10019,,56.41058082,,62.74925089,,
0,1.0,,59.5629012,,58.03208266,66.7538378,66.76100637,,
1,1.0,,52.41020168,,52.30530592,56.49125967,64.76721763,,
2,1.0,,50.76536371,,50.03519111,66.76348003,67.97698487,,
3,1.0,,51.91205163,,,62.34887168,62.29468087,,62.29468087
4,1.0,,,,,62.04697568,62.34409308,62.04697568,62.34409308
5,1.0,,,,,,63.85440131,61.45678009,63.85440131
6,1.0,,,,,,,58.41752844,63.15915129
