u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup
-20.0,48.74600691983758,70.37744979678706,48.746006919837576,70.37744979678706
-19.75,48.86486633758939,70.2271709594239,48.86486633758939,70.22717095942389
-19.5,48.98394109405025,70.07706131059427,48.983941094050245,70.07706131059427
-19.25,49.103231131871816,69.9271213031259,49.103231131871816,69.9271213031259
-19.0,49.22273639017877,69.77735138897805,49.22273639017877,69.77735138897805
-18.75,49.34245680456854,69.62775201921787,49.34245680456854,69.62775201921787
-18.5,49.46239230711181,69.4783236439967,49.46239230711181,69.47832364399669
-18.25,49.582542826353354,69.32906671252627,49.58254282635335,69.32906671252627
-18.0,49.7029082873129,69.17998167305528,49.7029082873129,69.17998167305527
-17.75,49.823488611486624,69.03106897284496,49.823488611486624,69.03106897284496
-17.5,49.944283716848304,68.88232905814583,49.9442837168483,68.88232905814583
-17.25,50.06529351785171,68.73376237417344,50.06529351785171,68.73376237417344
-17.0,50.18651792543242,68.58536936508412,50.18651792543241,68.5853693650841
-16.75,50.30795684701074,68.43715047395133,50.30795684701074,68.43715047395133
-16.5,50.42961018649383,68.28910614274167,50.42961018649383,68.28910614274166
-16.25,50.55147784427903,68.14123681229005,50.55147784427903,68.14123681229005
-16.0,50.673559717257554,67.99354292227616,50.67355971725755,67.99354292227616
-15.75,50.79585569881777,67.8460249111999,50.79585569881777,67.8460249111999
-15.5,50.91836567884911,67.69868321635767,50.918365678849106,67.69868321635767
-15.25,51.0410895437464,67.55151827381697,51.041089543746395,67.55151827381695
-15.0,51.16402717641466,67.40453051839323,51.164027176414656,67.40453051839323
-14.75,51.287178456273125,67.25772038362513,51.28717845627311,67.25772038362513
-14.5,51.410543259261274,67.11108830174973,51.410543259261274,67.11108830174972
-14.25,51.534121457843746,66.96463470367851,51.53412145784374,66.96463470367851
-14.0,51.65791292101598,66.81836001897315,51.65791292101598,66.81836001897315
-13.75,51.781917514310486,66.67226467582047,51.781917514310486,66.67226467582047
-13.5,51.90613509980261,66.52634910100885,51.90613509980261,66.52634910100885
-13.25,52.03056553611774,66.38061371990293,52.03056553611774,66.38061371990293
-13.0,52.155208678437695,66.2350589564195,52.15520867843769,66.23505895641948
-12.75,52.28006437850787,66.08968523300335,52.28006437850787,66.08968523300335
-12.5,52.40513248464467,65.94449297060221,52.40513248464467,65.94449297060221
-12.25,52.53041284174374,65.79948258864295,52.53041284174373,65.79948258864295
-12.0,52.65590529128697,65.65465450500649,52.65590529128697,65.65465450500649
-11.75,52.781609671351525,65.51000913600393,52.781609671351525,65.51000913600392
-11.5,52.90752581661799,65.36554689635147,52.907525816617984,65.36554689635147
-11.25,53.03365355837947,65.2212681991468,53.03365355837946,65.2212681991468
-11.0,53.15999272455072,65.0771734558438,53.159992724550705,65.07717345584379
-10.75,53.286543139676866,64.93326307622907,53.28654313967686,64.93326307622905
-10.5,53.41330462494401,64.78953746839704,53.413304624944,64.78953746839704
-10.25,53.540276998188745,64.64599703872555,53.540276998188745,64.64599703872555
-10.0,53.667460073908146,64.5026421918519,53.667460073908146,64.5026421918519
-9.75,53.79485366327043,64.35947333064867,53.79485366327043,64.35947333064865
-9.5,53.9224575741259,64.21649085619885,53.9224575741259,64.21649085619885
-9.25,54.05027161101751,64.07369516777227,54.05027161101751,64.07369516777227
-9.0,54.17829557519289,63.93108666280152,54.17829557519289,63.93108666280151
-8.75,54.30652926461494,63.78866573685734,54.30652926461494,63.78866573685733
-8.5,54.43497247397442,63.646432783625094,54.43497247397442,63.64643278362509
-8.25,54.56362499470195,63.504388194880384,54.56362499470194,63.504388194880384
-8.0,54.69248661497969,63.36253236046537,54.69248661497969,63.36253236046537
-7.75,54.82155711975475,63.220865668264906,54.82155711975474,63.220865668264906
-7.5,54.95083629075178,63.07938850418268,54.95083629075178,63.07938850418268
-7.25,55.08032390648561,62.93810125211734,55.0803239064856,62.938101252117335
-7.0,55.21001974227543,62.79700429393915,55.21001974227543,62.79700429393915
-6.75,55.3399235702578,62.65609800946605,55.3399235702578,62.65609800946605
-6.5,55.47003515940082,62.51538277644071,55.47003515940081,62.51538277644071
-6.25,55.60035427551792,62.37485897050601,55.60035427551792,62.37485897050601
-6.0,55.730880681282805,62.23452696518303,55.730880681282805,62.23452696518302
-5.75,55.86161413624314,62.09438713184686,55.86161413624314,62.094387131846844
-5.5,55.99255439683656,61.95443983970377,55.99255439683656,61.95443983970377
-5.25,56.12370121640455,61.814685455768014,56.12370121640454,61.814685455768014
-5.0,56.25505434520862,61.67512434483909,56.25505434520862,61.675124344839084
-4.75,56.38661353044538,61.535756869478575,56.38661353044538,61.53575686947857
-4.5,56.51837851626276,61.39658338998763,56.51837851626274,61.396583389987626
-4.25,56.65034904377541,61.25760426438387,56.65034904377541,61.25760426438387
-4.0,56.7825248510815,61.118819848379545,56.78252485108149,61.11881984837954
-3.75,56.914905673278845,60.98023049535828,56.914905673278845,60.98023049535827
-3.5,57.04749124248152,60.84183655635333,57.04749124248151,60.84183655635333
-3.25,57.180281287837126,60.70363838002528,57.18028128783712,60.70363838002528
-3.0,57.31327553554341,60.56563631263976,57.31327553554341,60.56563631263976
-2.75,57.44647370886627,60.42783069804582,57.446473708866264,60.42783069804582
-2.5,57.57987552815625,60.290221877653515,57.57987552815625,60.290221877653515
-2.25,57.71348071086737,60.15281019041307,57.71348071086737,60.152810190413064
-2.0,57.847288971574365,60.01559597279247,57.84728897157436,60.01559597279246
-1.75,57.98130002199099,59.87857955875697,57.98130002199098,59.87857955875696
-1.5,58.115513570988625,59.741761279746754,58.115513570988625,59.741761279746754
-1.25,58.24992932461436,59.605141464656775,58.24992932461436,59.60514146465677
-1.0,58.38454698611005,59.46872043981532,58.384546986110045,59.46872043981532
-0.75,58.519366255931104,59.33249852896321,58.519366255931104,59.3324985289632
-0.5,58.654386831765805,59.19647605323327,58.654386831765805,59.19647605323326
-0.25,58.789608408554145,59.06065333112968,58.789608408554145,59.06065333112967
0.0,58.925030678507966,58.925030678507895,58.92503067850796,58.925030678507895
0.25,59.0606533311297,58.789608408554145,59.06065333112969,58.789608408554145
0.5,59.19647605323337,58.65438683176576,59.19647605323337,58.65438683176576
0.75,59.33249852896326,58.51936625593105,59.33249852896325,58.51936625593104
1.0,59.46872043981538,58.384546986110024,59.46872043981538,58.38454698611002
1.25,59.60514146465671,58.24992932461426,59.605141464656704,58.24992932461426
1.5,59.741761279746804,58.11551357098867,59.741761279746804,58.11551357098866
1.75,59.878579558756954,57.981300021990975,59.87857955875695,57.98130002199097
2.0,60.01559597279247,57.84728897157436,60.01559597279247,57.84728897157434
2.25,60.15281019041305,57.71348071086736,60.15281019041305,57.71348071086736
2.5,60.29022187765355,57.57987552815624,60.29022187765355,57.57987552815624
2.75,60.42783069804584,57.44647370886626,60.42783069804583,57.44647370886626
3.0,60.56563631263981,57.3132755355434,60.5656363126398,57.3132755355434
3.25,60.70363838002529,57.180281287837076,60.70363838002529,57.180281287837076
