u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,76.41796113655727,69.55604097182902,44.288986131233756,51.719391035079965,,
-7.0,75.96809161236942,69.9640093894346,44.73219151260602,51.23391742919851,,
-6.0,75.52102799533586,70.37474464448634,45.178232088107215,50.751230459924464,,
-5.0,75.07677053937391,70.78825250184123,45.62710740240289,50.27133654255498,,
-4.0,74.63531902346563,71.2045382838222,46.078816530762765,49.79424165341107,,
-3.0,74.1966727521932,71.62360686544767,46.533358079417944,49.319951325219314,,
-2.0,73.76083055667915,72.04546267001321,46.99073018632541,48.848470642851154,,
-1.0,73.32779079593034,72.47010966503886,47.45093052233874,48.37980423942513,,
0.0,72.41996811330468,72.41996802736787,47.9139562922733,47.91395629329146,,
1.0,72.47010966503886,73.32779079593035,48.37980423942513,47.45093052233874,,
2.0,72.04546267001321,73.76083055667914,48.84847064285115,46.9907301863254,,
3.0,71.62360686544767,74.1966727521932,49.31995132521931,46.53335807941794,,
4.0,71.2045382838222,74.63531902346564,49.79424165341107,46.078816530762765,,
5.0,70.78825250184123,75.07677053937394,50.27133654255497,45.62710740240289,,
6.0,70.37474464448636,75.52102799533584,50.75123045992446,45.178232088107215,,
7.0,69.9640093894346,75.9680916123694,51.23391742919851,44.73219151260602,,
8.0,69.556040971829,76.41796113655728,51.71939103507996,44.28898613123376,,
9.0,69.15083318939557,76.87063583891782,52.20764442825839,43.84861592998027,,
10.0,68.74837940789382,77.32611451568084,52.69867033071152,43.41108042595075,,
11.0,68.34867256689392,77.78439548896863,53.19246104133296,42.97637866823429,,
12.0,,64.47275356334411,62.971293969254404,,62.97129396925435,64.47275356334421
13.0,,65.01236913684119,63.54375181294253,,63.543751812942524,65.01236913684124
14.0,,65.55520416804279,64.11914716482181,,64.11914716482178,65.55520416804282
15.0,,66.1012581346233,64.69746740226216,,64.69746740226209,66.10125813462332
16.0,,66.65051603273676,65.27868960369273,,65.2786896036927,66.65051603273673
17.0,,67.20295857978029,65.86278791963704,,65.86278791963697,67.20295857978037
18.0,,67.75856461099623,66.4497352975747,,66.44973529757469,67.75856461099625
19.0,,68.31731182395033,67.03950402075392,,67.03950402075391,68.31731182395033
