LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup,u
50.01618332524723,56.81896228252159,50.016183325247304,56.81896228252159,,,-5.0
50.517856188923034,56.28182819318868,50.517856188923034,56.281828193188645,,,-4.0
51.02291040381017,55.747906231267706,51.022910403810194,55.747906231267784,,,-3.0
51.53134201801851,55.21720656414948,51.53134201801859,55.217206564149485,,,-2.0
52.04312794055551,54.68975694396869,52.04312794055547,54.68975694396864,,,-1.0
52.55825887119785,54.16556973984826,52.55825887119792,54.16556973984816,,,0.0
53.076721045246195,53.644660133571826,53.07672104524615,53.64466013357185,,,1.0
53.598501499234985,53.12704073672542,53.59850149923497,53.12704073672544,,,2.0
54.123589656377135,52.61271973703154,54.1235896563771,52.612719737031455,,,3.0
54.651981778801265,52.101695746848776,54.65198177880123,52.101695746848705,,,4.000000000000001
55.18369433145142,51.59394233259525,55.183694331451434,51.59394233259525,,,5.0
55.71881236074713,51.08935196142103,55.71881236074714,51.089351961420945,,,5.999999999999999
56.2577210462771,50.58746749060168,56.2577210462771,50.58746749060172,,,7.0
56.79747297371888,,60.71181271399276,50.091633747295624,62.34744124200436,,8.0
57.34191069767663,,61.27214067986454,49.59750953427957,62.873832328558734,,9.000000000000002
57.88950158356259,,61.8355286196436,49.10678556472438,63.403542493656275,,9.999999999999998
62.401726369880684,,62.401726369880706,,63.93627543410341,63.93627543410341,11.0
62.97129396925435,,62.97129396925435,,64.47275356334409,64.47275356334407,12.0
63.54375181294248,,63.54375181294252,,65.01236913684113,65.01236913684114,13.000000000000002
64.11914716482181,,64.11914716482183,,65.5552041680427,65.55520416804282,13.999999999999998
64.69746740226216,,64.6974674022621,,66.10125813462328,66.1012581346233,15.0
65.2786896036927,,65.2786896036927,,66.65051603273673,66.65051603273675,16.0
65.862787919637,,65.86278791963704,,67.20295857978036,67.20295857978039,16.999999999999996
66.44973529757469,,66.44973529757473,,67.75856461099617,67.7585646109963,18.0
67.03950402075401,,67.03950402075404,,68.31731182395038,68.31731182395032,19.0
67.63206591998961,,67.63206591998959,,68.8791770649809,68.87917706498088,20.0
68.22739247660103,,68.227392476601,,69.44413646292202,69.44413646292207,21.0
68.8254548835298,,68.8254548835299,,70.01216550447678,70.01216550447681,22.0
69.42622408838665,,69.42622408838672,,70.58323908482922,70.58323908482923,23.0
70.02967082782766,,70.02967082782757,,71.15733154682485,71.15733154682488,24.0
70.63576565733597,,70.63576565733591,,71.73441671449723,71.73441671449723,24.999999999999996
71.24447897831143,,71.2444789783114,,72.31446792362277,72.31446792362279,26.0
71.85578106340688,,71.85578106340691,,72.89745805062665,72.89745805062662,27.0
72.46964208060706,,72.46964208060712,,73.4833595405084,73.48335954050836,28.0
73.08603211631275,,73.08603211631262,,74.07214443414591,74.07214443414594,29.0
73.70492119758057,,73.70492119758062,,74.66378439515782,74.66378439515789,30.000000000000004
74.32627931360008,,74.32627931360005,,75.25825073641835,75.25825073641836,31.000000000000004
74.95007643645346,,74.95007643645346,,75.85551444626547,75.85551444626552,32.0
75.57628254118791,,75.57628254118798,,76.45554621441356,76.45554621441357,33.0
76.20486762521071,,76.20486762521065,,77.05831645755949,77.05831645755941,34.0
76.8358017270127,,76.83580172701267,,77.66379534467042,77.66379534467055,35.0
77.46905494422751,,77.46905494422742,,78.27195282192534,78.27195282192527,36.00000000000001
78.10459745102202,,78.10459745102212,,78.88275863728407,78.8827586372841,37.00000000000001
78.74239951482035,,78.74239951482029,,79.49618236465881,79.49618236465878,38.00000000000001
79.38181524380543,,79.38181524380548,,80.11216141678919,80.11216141678918,39.0
80.02407859447118,,80.02407859447119,,80.7306594548707,80.73065945487082,40.0
80.66849171483884,,80.66849171483872,,81.35175461594076,81.35175461594078,41.0
81.31504667657654,,81.31504667657647,,81.9753446824518,81.97534468245168,42.0
81.9637144376021,,81.96371443760209,,82.60139870884234,82.60139870884228,43.0
82.61446613498066,,82.61446613498063,,83.22988570983907,83.22988570983901,44.00000000000001
