u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-20.0,75.96303053962933,75.96303053962934,,
-19.75,75.81727623518593,75.81727623518594,,
-19.5,75.67170857007964,75.67170857007966,,
-19.25,75.52632796733415,75.52632796733415,,
-19.0,75.38113484798468,75.38113484798468,,
-18.75,75.23612963105296,75.23612963105298,,
-18.5,75.09131273352243,75.09131273352244,,
-18.25,74.94668457031156,74.94668457031156,,
-18.0,74.80224555425035,74.80224555425036,,
-17.75,74.65799609605358,74.6579960960536,,
-17.5,74.51393660429764,74.51393660429764,,
-17.25,74.3700674853936,74.3700674853936,,
-17.0,74.22638914356388,74.22638914356389,,
-16.75,74.08290198081642,74.08290198081644,,
-16.5,73.93960639692105,73.93960639692105,,
-16.25,73.79650278938405,73.79650278938405,,
-16.0,73.653591553424,73.653591553424,,
-15.75,73.51087308194764,73.51087308194764,,
-15.5,73.36834776552527,73.36834776552527,,
-15.25,73.2260159923668,73.2260159923668,,
-15.0,73.08387814829743,73.08387814829743,,
-14.75,72.94193461673446,72.94193461673447,,
-14.5,72.8001857786628,72.8001857786628,,
-14.25,72.65863201261165,72.65863201261165,,
-14.0,72.51727369463092,72.51727369463092,,
-13.75,72.37611119826776,72.37611119826778,,
-13.5,72.23514489454378,72.23514489454378,,
-13.25,72.09437515193079,72.09437515193079,,
-13.0,71.9538023363297,71.95380233632972,,
-12.75,71.81342681104566,71.81342681104567,,
-12.5,71.67324893676712,71.67324893676712,,
-12.25,71.53326907154202,71.53326907154202,,
-12.0,71.39348757075636,71.39348757075638,,
-11.75,71.25390478711154,71.25390478711152,,
-11.5,71.11452107060248,71.11452107060248,,
-11.25,70.97533676849588,70.97533676849586,,
-11.0,70.83635222530816,70.83635222530816,,
-10.75,70.69756778278432,70.69756778278432,,
-10.5,70.55898377987667,70.55898377987668,,
-10.25,70.42060055272337,70.42060055272339,,
-10.0,70.28241843462746,70.28241843462746,,
-9.75,70.14443775603645,70.14443775603647,,
-9.5,70.00665884452155,70.00665884452155,,
-9.25,69.8690820247571,69.8690820247571,,
-9.0,69.73170761850045,69.73170761850047,,
-8.75,69.59453594457243,69.59453594457243,,
-8.5,69.4575673188368,69.4575673188368,,
-8.25,69.3208020541809,69.32080205418089,,
-8.0,69.18424046049692,69.18424046049692,,
-7.75,69.0478828446618,69.0478828446618,,
-7.5,68.91172951051871,68.91172951051871,,
-7.25,68.77578075885857,68.77578075885857,,
-7.0,68.64003688740101,68.64003688740101,,
-6.75,68.50449819077645,68.50449819077645,,
-6.5,68.36916496050782,68.36916496050782,,
-6.25,68.23403748499301,68.23403748499302,,
-6.0,68.09911604948672,68.09911604948674,,
-5.75,67.96440093608415,67.96440093608415,,
-5.5,67.82989242370189,67.82989242370189,,
-5.25,67.69559078806364,67.69559078806365,,
-5.0,67.5614963016816,67.56149630168161,,
-4.75,67.42760923384071,67.42760923384071,,
-4.5,67.29392985058219,67.29392985058219,,
-4.25,67.16045841468842,67.16045841468842,,
-4.0,67.02719518566624,67.02719518566626,,
-3.75,66.89414041973217,66.89414041973217,,
-3.5,66.76129436979747,66.76129436979748,,
-3.25,66.62865728545246,66.62865728545246,,
-3.0,66.49622941295252,66.49622941295252,,
-2.75,66.36401099520334,66.36401099520334,,
-2.5,66.23200227174718,66.23200227174718,,
-2.25,66.10020347874894,66.10020347874894,,
-2.0,65.96861484898207,65.96861484898207,,
