u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup
-35.0,-43.74858934233505,-32.30767649910441,-58.23995664161895,52.7250752652745,-7.1346208365578665,-1.3394781436593368,-60.56187034885104,47.52508821587517,-42.24318934233504,-30.80227649910442,-56.734556641619,54.23047526527444,-5.62922083655785,0.1659218563406602,-59.056470348851065,49.03048821587513
-34.5,-43.48863603484399,-32.087501432527134,-58.20031955789245,52.63317095686648,-7.395317333850038,-1.5594422855757075,-60.48956518685265,47.50510107140119,-41.98323603484403,-30.582101432527143,-56.69491955789236,54.13857095686662,-5.889917333850007,-0.0540422855757076,-58.98416518685265,49.010501071401166
-34.0,-43.22862388604885,-31.86728039905739,-58.16142333231295,52.5419489863892,-7.656054724803557,-1.7794519602854175,-60.417982215858494,47.48589247612729,-41.72322388604898,-30.361880399057355,-56.65602333231303,54.04734898638921,-6.150654724803558,-0.2740519602854265,-58.91258221585853,48.991292476127256
-33.5,-42.96855364437282,-31.64701392016269,-58.12327084939093,52.45141278899902,-7.916832583130215,-1.9995067826538933,-60.34712439486296,47.46746488059394,-41.46315364437273,-30.14161392016273,-56.61787084939096,53.95681278899907,-6.4114325831302335,-0.4941067826538943,-58.841724394862894,48.972864880594045
-33.0,-42.70842605999205,-31.426702524525613,-58.08586496694074,52.36156578444289,-8.17765047541818,-2.2196063593082798,-60.27699466270093,47.44982070452414,-41.20302605999196,-29.921302524525636,-56.58046496694072,53.8669657844428,-6.672250475418182,-0.7142063593082814,-58.77159466270093,48.95522070452415
-32.5,-42.44824188489426,-31.20634674800795,-58.049208515384905,52.27241137632755,-8.43850796112131,-2.439750288639285,-60.207595937383445,47.4329623361546,-40.9428418848943,-29.700946748007976,-56.543808515384896,53.77781137632745,-6.933107961121332,-0.9343502886392928,-58.70219593738334,48.93836233615463
-32.0,-42.18800187293345,-30.98594713361193,-58.01330429705786,52.18395295138875,-8.699404592550433,-2.659938160807238,-60.13893111543024,47.41689213157129,-40.68260187293318,-29.48054713361196,-56.50790429705798,53.68935295138871,-7.194004592550453,-1.1545381608072358,-58.633531115430245,48.9222921315713
-31.5,-41.92770677987808,-30.765504231437365,-57.97815508551231,52.0961938787552,-8.960339914868001,-2.8801695577495106,-60.07100307120111,47.40161241404493,-40.42230677987797,-29.260104231437357,-56.47275508551232,53.60159387875514,-7.454939914867994,-1.3747695577495118,-58.56560307120112,48.90701241404504
-31.0,-41.6673573634575,-30.54501859863716,-57.943763624826566,52.00913750920984,-9.221313466084688,-3.100444053191416,-60.003814656224485,47.3871254733705,-40.1619573634576,-29.0396185986371,-56.43836362482664,53.514537509209816,-7.715913466084665,-1.5950440531914103,-58.49841465622442,48.892525473370526
-30.5,-41.40695438340114,-30.32449079936825,-57.91013262891574,51.92278717444957,-9.482324777058714,-3.3207612126617363,-59.93736869852552,47.37343356520849,-39.90155438340125,-28.8190907993682,-56.40473262891577,53.42818717444947,-7.976924777058702,-1.815361212661741,-58.43196869852556,48.87883356520836
-30.0,-41.14649860147477,-30.10392140474079,-57.87726478084382,51.83714618634107,-9.743373371498208,-3.5411205935090604,-59.87166800195236,47.36053891042994,-39.64109860147472,-28.59852140474078,-56.37186478084386,53.34254618634112,-8.237973371498226,-2.035720593509055,-58.36626800195238,48.86593891043013
-29.5,-40.88599078151142,-29.88331099276312,-57.845162732140615,51.75221783617634,-10.004458765965932,-3.761521744922392,-59.80671534550131,47.348443694466,-39.38059078151149,-28.377910992763116,-56.33976273214062,53.25761783617632,-8.499058765965918,-2.256121744922398,-58.30131534550132,48.85384369446604
-29.0,-40.625431689440006,-29.662660148284083,-57.81382910212048,51.66800539392482,-10.265580469886071,-3.9819642079558144,-59.74251348264242,47.337150066659376,-39.12003168944005,-28.157260148284116,-56.30842910212043,53.17340539392477,-8.76018046988608,-2.47656420795582,-58.23711348264241,48.8425500666594
-28.5,-40.36482209330585,-29.441969462932104,-57.78326647720648,51.58451210748618,-10.526737985555783,-4.20244751555418,-59.67906514064365,47.32666013962196,-38.85942209330594,-27.93656946293214,-56.27786647720646,53.08991210748604,-9.021337985555803,-2.6970475155541687,-58.173665140643685,48.832060139622
-28.0,-40.10416276329074,-29.22123953505149,-57.75347741025693,51.50174120193964,-10.787930808156316,-4.422971192583805,-59.61637301989579,47.31697598859626,-38.59876276329064,-27.715839535051465,-56.24807741025697,53.007141201939504,-9.28253080815634,-2.917571192583801,-58.11097301989575,48.82237598859619
-27.5,-39.84345447172592,-29.000470969634872,-57.724464419897984,51.41969587879625,-11.049158425770214,-4.643534755866081,-59.554439793237314,47.30809965082151,-38.33805447172588,-27.49507096963488,-56.21906441989791,52.92509587879615,-9.543758425770204,-3.138134755866089,-58.049039793237306,48.81349965082159
-27.0,-39.58269799310254,-28.77966437825313,-57.69622998986011,51.33837931524736,-11.310420319398435,-4.864137714213332,-59.49326810528012,47.30003312490655,-38.077297993102576,-27.27426437825312,-56.19082998985997,52.84377931524737,-9.805020319398414,-3.358737714213339,-57.98786810528004,48.80543312490648
-26.5,-39.32189410407702,-28.55882037898196,-57.668776568320126,51.25779466341531,-11.57171596298219,-5.084779568469333,-59.43286057173683,47.292778370207415,-37.81649410407708,-27.05342037898193,-56.16337656832012,52.76319466341536,-10.066315962982182,-3.5793795684693253,-57.927460571736816,48.79817837020748
-26.0,-39.06104358347262,-28.33793959632508,-57.6421065672493,51.17794504960414,-11.833044823426484,-5.305459811552358,-59.37321977874797,47.28633730621055,-37.555643583472616,-26.83253959632504,-56.13670656724932,52.683345049604,-10.32764482342647,-3.8000598115523343,-57.8678197787479,48.7917373062106
-25.5,-38.80014721227631,-28.11702266113472,-57.61622236176669,51.09883357355088,-12.094406360627078,-5.526177928501234,-59.31434828221264,47.280711811925016,-37.29474721227624,-26.611622661134763,-56.11082236176669,52.6042335735509,-10.589006360627089,-4.020777928501232,-57.80894828221257,48.78611181192496
-25.0,-38.53920577363311,-27.89607021052909,-57.59112628949886,51.02046330767924,-12.355800027499525,-5.7469333965257805,-59.25624860711977,47.27590372527788,-37.03380577363316,-26.39067021052909,-56.08572628949878,52.52586330767926,-10.850400027499562,-4.241533396525796,-57.75084860711966,48.781303725277866
-24.5,-38.27822005283425,-27.675082887805743,-57.56682064994718,50.94283729635277,-12.617225270011769,-5.967725685059383,-59.19892324688256,47.27191484252072,-36.772820052834255,-26.16968288780576,-56.06142064994711,52.44823729635282,-11.11182527001178,-4.462325685059392,-57.69352324688247,48.77731484252064
-24.0,-38.017190837303,-27.454061342353437,-57.54330770386143,50.86595855513272,-12.87868152721855,-6.188554255815537,-59.14237466267572,47.26874691764062,-36.51179083730299,-25.948661342353443,-56.03790770386143,52.37135855513259,-11.373281527218538,-4.683154255815542,-57.63697466267562,48.77414691764069
-23.5,-37.75611891657618,-27.233006229559408,-57.52058967262085,50.78983007003613,-13.140168231299944,-6.409418562847719,-59.08660528277492,47.26640166178184,-36.2507189165762,-25.72760622955941,-56.01518967262086,52.29523007003606,-11.63476823129994,-4.90401856284772,-57.58120528277483,48.77180166178186
-23.0,-37.49500508228086,-27.01191821071459,-57.49866873762372,50.71445479679769,-13.401684807601272,-6.630318052612142,-59.03161750190127,47.26488074267351,-35.989605082280896,-25.506518210714635,-55.9932687376238,52.219854796797655,-11.896284807601283,-5.124918052612143,-57.5262175019012,48.77028074267353
-22.5,-37.23385012810939,-26.790797952915412,-57.47754703968439,50.63983566013556,-13.66323067467677,-6.851252164034748,-58.977413680567686,47.264185784067365,-35.728450128109365,-25.28539795291537,-55.97214703968415,52.14523566013556,-12.15783067467676,-5.3458521640347705,-57.47201368056765,48.769585784067424
-22.0,-36.97265484978766,-26.56964612896256,-57.45722667843819,50.56597555301905,-13.924805244335651,-7.072220328580174,-58.92399614443063,47.264318365185005,-35.46725484978757,-25.06424612896253,-55.95182667843808,52.07137555301892,-12.419405244335604,-5.566820328580175,-57.41859614443068,48.769718365184914
-21.5,-36.71142004504242,-26.348463417257157,-57.43770971175835,50.49287733594142,-14.18640792169055,-7.293221970325605,-58.87136718364693,47.26528002017357,-35.206020045042486,-24.843063417257174,-55.93230971175831,51.99827733594126,-12.68100792169052,-5.787821970325608,-57.365967183646966,48.77068002017359
-21.0,-36.45014651356353,-26.12725050169344,-57.41899815517803,50.42054383619704,-14.44803810520965,-7.514256506036226,-58.81952905223379,47.2670722375719,-34.94474651356351,-24.62185050169337,-55.91359815517804,51.92594383619701,-12.942638105209616,-6.008856506036222,-57.31412905223375,48.77247223757193
