u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup
-30.0,-39.76491974776784,-25.381082233750472,-58.42644140970638,51.22243867568172,10.051276862610957,14.366420288131351,-61.094209985423454,50.75646986773462,-38.2595197477678,-23.87568223375049,-56.92104140970633,52.72783867568164,11.556676862610937,15.87182028813136,-59.588809985423424,52.26186986773463
-29.0,-39.24144374749877,-24.937010659547862,-58.37861762260391,51.06638996452239,9.528873567486954,13.925348072557709,-60.91226508910448,50.675507754841966,-37.73604374749873,-23.431610659547808,-56.87321762260395,52.571789964522345,11.034273567486965,15.43074807255769,-59.40686508910449,52.180907754842
-28.0,-38.71775661679974,-24.492769158190274,-58.33396489166856,50.91332192859836,9.006291825390614,13.484071481843849,-60.73296669858467,50.597461186930936,-37.21235661679968,-22.987369158190265,-56.82856489166852,52.41872192859832,10.511691825390605,14.989471481843848,-59.2275666985847,52.10286118693095
-27.0,-38.193864823598055,-24.048362907649327,-58.29250152887824,50.76326289160826,8.483534808924635,13.042593325547818,-60.55634189810247,50.52235131613334,-36.688464823598,-22.542962907649333,-56.78710152887827,52.268662891608194,9.988934808924643,14.54799332554782,-59.05094189810248,52.027751316133376
-26.0,-37.66977485464659,-23.60379717787635,-58.2542451884368,50.61624777088311,7.960605791376762,12.600916533310642,-60.38241764014422,50.45019190584512,-36.164374854646624,-22.098397177876333,-56.74884518843684,52.121647770883165,9.466005791376764,14.106316533310611,-58.87701764014423,51.955591905845125
-25.0,-37.14549320685671,-23.159077319591947,-58.21921282844715,50.4723469198523,7.437508138466593,12.159044147472938,-60.21122074136964,50.38096043937095,-35.64009320685665,-21.653677319591942,-56.7138128284471,51.97774691985229,8.942908138466601,13.664444147472947,-58.705820741369685,51.88636043937096
-24.0,-36.62102637521677,-22.71420874927533,-58.1874206644962,50.33241630918031,6.914245296174363,11.716979312574315,-60.04277788630184,50.31384788924126,-35.11562637521681,-21.208808749275327,-56.68202066449619,51.83781630918035,8.419645296174377,13.222379312574326,-58.53737788630183,51.81924788924127
-23.0,-36.096380836382295,-22.26919692849795,-58.15888411218706,50.1929681298309,6.390820772832909,11.27472526076832,-59.87711564154532,50.25238806349751,-34.590980836382364,-20.76379692849791,-56.65348411218696,51.69836812983089,7.89622077283292,12.78012526076832,-58.37171564154532,51.757788063497536
-22.0,-35.57156302724464,-21.824047333985263,-58.13361771873179,50.05844417437157,5.867238112170464,10.832285292141298,-59.71426047983425,50.19218417130608,-34.066163027244656,-20.31864733398533,-56.62821771873183,51.56384417437165,7.37263811217047,12.337685292141323,-58.20886047983424,51.6975841713061
-21.0,-35.04657931844479,-21.378765408032297,-58.11163510401954,49.92691147522584,5.343500848299817,10.389662748448554,-59.5542387913075,50.1352131244924,-33.5411793184448,-19.873365408032303,-56.6062351040195,51.43231147522584,6.848900848299833,11.895062748448549,-58.0488387913074,51.64061312449241
