u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
0.0,-27.37120939,-19.76756732,-58.28322177,47.4989042,-26.05661705,-17.53326774,-55.59756549,48.720854,6.14188405,9.10476948,-49.91254683,56.43948167,7.45647407,11.33907113,-47.22597357,57.66051388,-5.69569185
1.0,-26.84606352,-19.3230088,-58.32477064,47.430829,-26.57626224,-17.97143511,-55.56243756,48.78957126,6.66693562,9.54922037,-50.01368083,56.43418573,6.93688669,10.90096883,-47.13111383,57.6664345,-5.65224975
2.0,-26.32091219,-18.87846658,-58.36970284,47.36615478,-27.09587789,-18.40959795,-55.53060507,48.86157239,7.19195746,9.99361153,-50.11806217,56.43228281,6.41729113,10.46282941,-47.03943709,57.67565698,-5.99615341
3.0,-25.7957608,-18.43394813,-58.41801428,47.304886,-27.61545938,-18.84774979,-55.50206859,48.93685048,7.71694319,10.43793671,-50.22567548,56.43376415,5.89769308,10.02465827,-46.95095557,57.68818769,-6.26812752
